question,answer,page,category,made_date
私はいとこのようになりたい。,I want to be like my cousin.,P88,textbook,2022-02-22
彼女のことを次の授業で話してもらえますか？,Can you make a speech about her in our next class?,P88,textbook,2022-02-22
彼女は医者として様々な国々で働いています。,She works as a doctor in different countries.,P88,textbook,2022-02-22
ときどきそれは難しいことですが、彼女はベストを尽くしています。,"It's sometimes difficult, but she tries to do her best.",P89,textbook,2022-02-22
私は彼女のようになりたい。,I want to be like her.,P89,textbook,2022-02-22
自分の将来の仕事はわからないけれど、私も他の人を助けたいと思います。,"I'm not sure about my future job, but I want to help others, too.",P89,textbook,2022-02-22
彼女は彼女を必要としている人を助けたいのです。,She wants to help people in need.,P89,textbook,2022-02-22
そのお母さんは彼女の子供を助けたい。,The mother wants to help her child.,P89,textbook,2022-02-22
彼女は子供を病院へ連れていきたい。,She wants to take her child to the hospital.,P89,textbook,2022-02-22
彼は水が飲みたい。,He wants to drink water.,P89,textbook,2022-02-22
あなたは今、何がしたいの？,What do you want to do now?,P89,textbook,2022-02-22
私はあそこのエスニック料理が食べたいわ。,I want to try some ethnic food over there.,P90,textbook,2022-02-22
わお、めっちゃ人並んで待ってるやん。,"Oh, but many people are waiting in line.",P90,textbook,2022-02-22
あなたは今何が食べたいの？,What do you want to eat?,P90,textbook,2022-02-22
グリーンカレーを食べたい。,I want to eat green curry.,P90,textbook,2022-02-22
あなたは今何が飲みたいの？,What do you want to drink?,P90,textbook,2022-02-22
お茶を飲みたいです。,I want to drink tea.,P90,textbook,2022-02-22
あなたは今どこに行きたいの？,Where do you want to go?,P90,textbook,2022-02-22
家に帰りたいです。,I want to go home.,P90,textbook,2022-02-22
この写真の子どもたちを見てください。,Look at the children in this picture.,P92,textbook,2022-02-22
彼らはきれいな水を井戸から汲み出しています。,They're getting clean water from a well.,P92,textbook,2022-02-22
彼らはとても幸せそうです。,They look happy.,P92,textbook,2022-02-22
一方、一部の村では、子供たちが川に行って水を集めていました。,"On the other hand, in some villages, children got to the river and collect water.",P92,textbook,2022-02-22
彼らは毎日長い時間歩いています。,They walk for a long time every day.,P92,textbook,2022-02-22
彼らは学校に行きたいけど時間がありません。,"They want to go to school, but they don't have time.",P92,textbook,2022-02-22
私たちボランティアグループは、このような場所に井戸を建設しています。,Our volunteer group builds wells in places like this.,P92,textbook,2022-02-22
私たちはお金を集めています。,We're collecting money.,P92,textbook,2022-02-22
私たちはあなたたちの助けが必要です。,We need your help.,P92,textbook,2022-02-22
暑いです。,It is hot.,P92,textbook,2022-02-22
この少年はお腹がすいています。,The boy is hungry.,P92,textbook,2022-02-22
彼はのども渇いています。,"He is thirsty, too.",P92,textbook,2022-02-22
私は冬休みに友達とロンドンに行きました。,I traveled to London with my friend during winter vacation.,P103,textbook,2022-02-22
私たちはそこに一週間滞在しました。,We stayed there for a week.,P103,textbook,2022-02-22
12月31日の午後に大英博物館へ行きました。,"On the afternoon of December 31, we visited the British Museum.",P103,textbook,2022-02-22
美術館を三時間見回りました。,We looked around the museum for three hours.,P103,textbook,2022-02-22
いっぱい面白いものがありました。,It is full interesting things.,P103,textbook,2022-02-22
私たちは夜に劇場でミュージカルを見ました。,"In the evening, we watched a musical at a theater.",P103,textbook,2022-02-22
私の好きな俳優が主要な部分を演じていました。,My favorite actor played a leading part.,P103,textbook,2022-02-22
私たちは素敵な曲を聞けたのでとても楽しかったです。,We listened to some wonderful songs and enjoyed the performance very much.,P103,textbook,2022-02-22
私は2012年にロンドンへ旅行しました。,I traveled to London in 2012.,P103,textbook,2022-02-22
私はそこでオリンピックを楽しみました。,I enjoyed the olympic games there.,P103,textbook,2022-02-22
私はサッカーを8月3日に見ました。,I watched soccer games on August 3rd.,P103,textbook,2022-02-22
私の友達と私はビッグベンという有名な時計塔で夜を過ごしました。,"My friend and I spent the night near Big Ben, a famous clock tower.",P103,textbook,2022-02-22
ロンドンの地下鉄「TheTube」でウェストミンスター駅まで行きました。,"We took ""the Tube,"" London's subway, to Westminster Station.",P103,textbook,2022-02-22
私たちはフィッシュアンドチップスを食べて歩き回りました。,"We ate a fish and chips, and walked around.",P103,textbook,2022-02-22
たくさんの人が時計塔の近くに来て立っていました。,Many people came and stood near the clock tower.,P103,textbook,2022-02-22
私たちはみんな一緒に新年までカウントダウンしました。,We all counted down to the New Year together.,P103,textbook,2022-02-22
真夜中に、私たちはいくつかの素晴らしい花火を見ました。,"At midnight, we saw some great fireworks.",P103,textbook,2022-02-22
人々はお互いにあけましておめでとうと言い合いました。,"People said, ""Happy New Year!"" to each other.",P103,textbook,2022-02-22
私はとても幸せに感じました。,I felt so happy.,P103,textbook,2022-02-22
私達は素晴らしい時間を過ごしました。,We had a wonderful time.,P103,textbook,2022-02-22
元日は何をしましたか？,What did you do on New Year's Day?,P103,textbook,2022-02-22
早く起きて家族と一緒に神社に行きました。,I got up early and went to a shrine with my family.,P103,textbook,2022-02-22
それはすばらしい。,That's nice.,P103,textbook,2022-02-22
伝統的なお正月の食べ物を食べましたか？,Did you eat any traditional New Year's food?,P103,textbook,2022-02-22
おせちを食べました。,We ate osechi.,P103,textbook,2022-02-22
あなたとあなたの両親がそれを作ったのですか？,Did you and your parents make it?,P103,textbook,2022-02-22
かいとのお母さんが作って持ってきてくれました。,Kaito's mother made and brought it to us.,P103,textbook,2022-02-22
あなたは何をした？ ,What did you do?,P103,textbook,2022-02-22
私たちはどこにも行きませんでした。,We didn't go anywhere.,P103,textbook,2022-02-22
私達は家でリラックスしました。,We just relaxed at home together.,P103,textbook,2022-02-22
私は冬休みにどこにも旅行しませんでした。,I didn't travel anywhere during the winter vacation.,P103,textbook,2022-02-22
私達は元日の前日に蕎麦を食べました。,We ate soba on New Year's Eve.,P103,textbook,2022-02-22
私達は元日に神社に行きました。,We go to a shrine on New Year's Day.,P103,textbook,2022-02-22
テニスをしましょう。,Let's play tennis.,P999,work,2022-02-22
あなたは今何をしていますか？,What are you doing now?,P999,work,2022-02-22
あなたは昨夜何をしましたか？,What did you do last night?,P999,work,2022-02-22
（英語で答えよ) What did Tony do last night? →（本を読んだ）,He read books.,P999,work,2022-02-22
彼は今何をしていますか？,What is he doing now?,P999,work,2022-02-22
彼は何をしますか？,What does he do?,P999,papa,2022-02-22
彼は何をしましたか？,What did he do?,P999,papa,2022-02-22
彼は何を食べていますか？,What is he eating?,P999,papa,2022-02-22
彼は何を食べましたか？,What did he eat?,P999,papa,2022-02-22
彼は朝食を食べています。,He is having breakfast.,P999,papa,2022-02-22
彼は朝食を食べました。,He had breakfast.,P999,papa,2022-02-22
彼は朝食を食べませんでした。,He didn't have breakfast.,P999,papa,2022-02-22
私達はギターを弾いています。,We are playing guitars now.,P999,papa,2022-02-22
私達はギターをひきません。,We don't play guitars.,P999,papa,2022-02-22
私達はギターを弾きました。,We played guitars.,P999,papa,2022-02-22
私達はギターを弾きませんでした。,We didn't play guitars.,P999,papa,2022-02-22
私は風を感じている。,I am feeling a wind.,P999,papa,2022-02-22
私は風を感じた。,I felt a wind.,P999,papa,2022-02-22
私は風を感じませんでした。,I didn't feel a wind.,P999,papa,2022-02-22
（英語で答えよ）What are they doing now? （朝食を食べている）,They are having breakfast.,P999,work,2022-02-22
ライオンたちは何をしていますか？,What are lions doing now?,P999,papa,2022-02-22
ライオンたちはその時何をしましたか？,What did lions do at the time?,P999,papa,2022-02-22
ライオンたちは餌を持ってきました。,Lions brought their foods.,P999,papa,2022-02-22
ライオンたちは朝何をしますか？,What do lions do in the morning?,P999,papa,2022-02-22
そのライオンは朝何をしますか？,What dose the lion do in the morning?,P999,papa,2022-02-22
そのライオンは朝何をしましたか？,What did the lion do in the morning?,P999,papa,2022-02-22
そのライオンは今何をしていますか？,What is the lion doing now?,P999,papa,2022-02-22
彼はその時、風を感じませんでした。,He didn't fell a wind at the time.,P999,work,2022-02-22
彼は風を感じました。,He felt a wind.,P999,work,2022-02-22
彼は今、風を感じています。,He is feeling a wind.,P999,work,2022-02-22
（英語で答えよ）What did she play last night? （ピアノ）,She played the piano last night.,P999,papa,2022-02-22
（英語で答えよ）What did you play last night? (ギター）,I played the guitar last night.,P999,papa,2022-02-22
（英語で答えよ）What did he bring last night? (ギター）,He brought the guitar last night.,P999,papa,2022-02-22
（英語で答えよ）What did they bring last night? (ピアノ）,They brought the piano last night.,P999,papa,2022-02-22
（英語で答えよ）What does he bring? （ピアノ）,He brings the piano.,P999,papa,2022-02-22
（英語で答えよ）What do you bring?,We bring the piano.,P999,papa,2022-02-22
昼食を食べましょう。,Let's have lunch.,P999,work,2022-02-22
ことを弾きましょう。,Let's play KOTO.,P999,work,2022-02-22
彼はそのギターを弾きますか？,Does he play the guitar?,P999,papa,2022-02-22
彼らはそのギターを弾きますか？,Do they play the guitar?,P999,papa,2022-02-22
彼女はそのピアノを弾きますか？,Does she play the piano?,P999,papa,2022-02-22
彼女はそのピアノを弾きましたか？,Did she play the guitar?,P999,papa,2022-02-22
彼女はそのピアノを弾いていますか？,Is she playing the piano?,P999,papa,2022-02-22
彼はバスケをしましたか？,Did he play basketball?,P999,papa,2022-02-22
彼はバスに乗りましたか？,Did he take a bus?,P999,papa,2022-02-22
私は日曜日何もしませんでした。,I did nothing on Sunday.,P999,work,2022-02-22
彼は日曜日何もしません。,He does nothing on Sunday.,P999,work,2022-02-22
彼はギターを弾くことが好きですか？,Does he like to play the guitar?,P999,papa,2022-02-22
彼らはギターを弾くことが好きですか？,Do they like to play the guitar?,P999,papa,2022-02-22
あなたはギターを弾くことが好きですか？,Do you like to play the guitar?,P999,papa,2022-02-22
彼はギターを弾くことが好きでしたか？,Did he like to play the guitar?,P999,papa,2022-02-22
彼らはギターを弾くことが好きでしたか？,Did they like to play the guitar?,P999,papa,2022-02-22
彼はどうやって学校に来ますか？（交通手段を聞いている）,How does he come to school?,P999,papa,2022-02-22
彼らはどうやって学校に来ますか？,How do they come to school?,P999,papa,2022-02-22
彼女はどうやって学校に来ましたか？,How did she come to school?,P999,papa,2022-02-22
彼らはどうやって学校にきましたか？,How did the come to school?,P999,papa,2022-02-22
私は将来学校の先生になりたいです。,I want to be a teacher in the future.,P999,work,2022-02-22
Howを使う感嘆文の語順を述べよ,How 形容詞　主語　動詞,P999,work,2022-02-22
What を使う感嘆文の語順を述べよ,What 形容詞　名詞　主語　動詞,P999,work,2022-02-22
彼女はなんて美しいんでしょう！,How beautiful she is.,P999,difficult,2022-02-22
この作業はなんて大変なんでしょう！,How hard the working is.,P999,difficult,2022-02-22
あなたの猫はなんてかわいいんでしょう,How cute your cat is.,P999,difficult,2022-02-22
あなたの息子はなんて背が高くなったんでしょう,How tall your son became.,P999,difficult,2022-02-22
彼はなんて一生懸命働くのでしょう！,How hard he works.,P999,difficult,2022-02-22
なんて美しい山なんだあれは,What a beautiful mountain that is!,P999,difficult,2022-02-22
なんて小さい部屋なんだあそこは！,What a small room that is!,P999,difficult,2022-02-22
なんておもしろい物語なんでしょう！,What a interesting story it is!,P999,difficult,2022-02-22
なんて今日は美しい日だったんでしょう！,What a beautiful day today it was!,P999,difficult,2022-02-22
私はだんだん疲れている。,I'm getting tired.,P999,work,2022-02-22
私の父はだんだん年をとってきた。,My father is getting old.,P999,papa,2022-02-22
私はだんだん太ってきた。,I'm getting fat.,P999,papa,2022-02-22
悲しくなってきています。,I'm getting sad.,P999,papa,2022-02-22
だんだん暑くなってきた。,It's getting hot.,P999,papa,2022-02-22
だんだん寒くなってきた。,It's getting cold.,P999,papa,2022-02-22
私はだんだん太っていた。,I was getting fat.,P999,papa,2022-02-22
私はだんだん悲しくなった。,I was getting sad.,P999,papa,2022-02-22
彼女は彼のところに本を持っていく,She brings a book to him.,P999,work,2022-02-22
彼女は彼のところに本を持っていった,She brought a book to him.,P999,work,2022-02-22
彼女は彼のところに本を持っていかなかった。,She didn't bring a book to him.,P999,work,2022-02-22
あなたは土曜日何もしませんでした。,You did nothing on Saturday.,P999,work,2022-02-22
彼は傘を学校へ持っていきませんでした。,He didn't bring his umbrella to his school.,P999,papa,2022-02-22
彼は傘を学校へ持っていきます。,He brings his umbrella to his school.,P999,papa,2022-02-22
彼は傘を学校へ持っていきました。,He brought his umbrella to his school.,P999,papa,2022-02-22
あなたのノートを私のところへ持ってきてください。,Please bring your notebook to me.,P999,work,2022-02-22
私はいつか彼女にお礼が言いたい。,I want to thank her someday.,P999,work,2022-02-22
これが彼の写真です。,This is a picture of him.,P999,work,2022-02-22
それについて話そう,Let's talk about it.,P999,work,2022-02-22
声をかけないでください。,Please don't talk to me.,P999,work,2022-02-22
彼女を手伝いましょう。,Let's help her.,P999,work,2022-02-22
彼女の作品は外国でも人気です。,"Her pieces are popular in foreign counteris, too.",P999,work,2022-02-22
この動物園では毎日イルカショーをやっています,This zoo has dolphin shows every day.,P999,work,2022-02-22
私は彼が好きだな。,I like him.,P999,papa,2022-02-22
私は彼女が好きだな。,I like her.,P999,papa,2022-02-22
彼は彼女が好きだな。,He likes her.,P999,papa,2022-02-22
彼女は彼が好きだな。,She likes him.,P999,papa,2022-02-22
彼らは彼が好きだな。,They like him.,P999,papa,2022-02-22
彼は彼らが好きだな。,He likes them.,P999,papa,2022-02-22
彼らは私達が好きだな。,They like us.,P999,papa,2022-02-22
彼は私達が好きだな。,He likes us.,P999,work,2022-02-22
彼女は日本語と英語のどちらの言語を話すのですか？,"Which language does she speak, Japanese or English?",P999,work,2022-02-22
どの人がジョーンズさんですか？,Which one is Mr. Jones?,P999,work,2022-02-22
どの人がワンワンさんですか？,Which one is Wanwan?,P999,papa,2022-02-22
どの教科が好きですか？,Which subject do you like?,P999,work,2022-02-22
これはだれの消しゴムですか？,Whose eraser is this?,P999,work,2022-02-22
それは私のです。,It is mine.,P999,papa,2022-02-22
それは彼女のです。,It is hers.,P999,papa,2022-02-22
それは彼のです。,It is his.,P999,papa,2022-02-22
それはあなたのです。,It is yours.,P999,papa,2022-02-22
それは私達のです。,It is ours.,P999,papa,2022-02-22
それはあなたたちのです。,It is yours.,P999,papa,2022-02-22
それは彼らのです。,It is theirs.,P999,papa,2022-02-22
その（複数の）ドアはいつあくの？,When do the doors open?,P999,work,2022-02-22
それらはあと５分であきます。,They open in five minutes.,P999,work,2022-02-22
あなたは言葉に気をつけましょう。,Be careful with your words.,P999,work,2022-02-22
ティムは炭酸水と水どちらが好き？,"Which does Tim like, soda or water?",P999,work,2022-02-22
おなかが痛いです,I have a stomachache.,P999,work,2022-02-22
はが痛いです。,I have a toothache.,P999,work,2022-02-22
ここが痛いです。,I have a pain here.,P999,work,2022-02-22
熱があります。,I have a fever.,P999,work,2022-02-22
気分が悪いです。,I feel sick.,P999,work,2022-02-22
ひどいです。,I feel terrible.,P999,work,2022-02-22
ティムは祖父母と一緒に暮らしています。,Tim lives with his grandparents.,P999,work,2022-02-22
職員室はどこですか？,Where is the teachers' room?,P999,work,2022-02-22
彼はどこにいますか？,Where is he?,P999,work,2022-02-22
彼らを知っていますか？,Do you know them?,P999,work,2022-02-22
（今〜しているにかえる）Chisato jogs around her house.,Chisato is jogging around her house.,P999,work,2022-02-22
それは映画みたい,That sounds like a movie.,P999,work,2022-02-22
それは漫画みたい。,That sounds like a comic.,P999,work,2022-02-22
どこへ行くの？,Where are you going?,P999,work,2022-02-22
ここ誰か座っていますか？,Is anyone sitting here?,P999,work,2022-02-22
誰がこのケーキを飾り付けしたの？,Who decorated this cake?,P999,work,2022-02-22
誰がこの本を持ってきたの？,Who brought this book?,P999,work,2022-02-22
誰がこの写真を撮ったの？,Who took this picture?,P999,work,2022-02-22
いつもは誰が朝ごはんの準備をするの？,Who usually prepares breakfast?,P999,work,2022-02-22
いつもは誰がテニスをするの？,Who usually plays tennis?,P999,work,2022-02-22
いつもは誰がギターを弾くの？,Who usually plays the guitar?,P999,work,2022-02-22
最高のアイディアはジョークから生まれるものです。,The best ideas come from jokes.,P999,work,2022-02-22
そんなことを言っているんじゃないよ,I'm not saying that.,P999,work,2022-02-22
なんて狭い世界なんでしょう,What a small world!,P999,work,2022-02-22
なんて親切なの！,How kind!,P999,work,2022-02-22
なんてかわいいの！,How cute!,P999,work,2022-02-22
なんておいしいの！,How delicious!,P999,work,2022-02-22
なんて速いんだ！,How fast!,P999,work,2022-02-22
なんていい考え！,What a great idea!,P999,work,2022-02-22
なんてひどい日だ！,What a bad day!,P999,work,2022-02-22
なんて頭痛だ！,What a headache!,P999,work,2022-02-22
3時にぼくのうちにこれる？,Can you come to my house at three?,P999,work,2022-02-22
めぐになにか言って！,Say something to Meg.,P999,work,2022-02-22
ずっと最高のともだちでいようね。,Let's be best friends forever.,P999,work,2022-02-22
お誕生日の人はプレゼントをもらうんだよ,The birthday girl gets a present.,P999,work,2022-02-22
私は夏祭りを楽しみにしている。,I'm looking forward to the summer festival.,P999,work,2022-02-22
ではそのときにおやつも買おう。,Let's buy some snacks then.,P999,work,2022-02-22
ブラウンさんは写真を取るのが大好きです,Mr. Brown likes to take pictures.,P999,work,2022-02-22
ボブは絵を描くのが好きです。,Bob likes to draw pictures.,P999,work,2022-02-22
私の妹はパイロットになりたがっている。,My syster wants to be a pilot.,P999,work,2022-02-22
僕たちいますぐ出発しないと,We need to leave right now.,P999,work,2022-02-22
彼女は起きようとしている。,She is trying to get up.,P999,work,2022-02-22
彼の夢はイラストレーターになることだよ。,His dream is to be an illustrator.,P999,work,2022-02-22
みかはベストを尽くした。,Mika did her best.,P999,work,2022-02-22
外国に住みたいと思う？,Do you want to live in a foreign country?,P999,work,2022-02-22
あなたはタイに行きたいですか？,Do you want to go to Thailand?,P999,work,2022-02-22
みなさんは読書をするのが好きですか？,Do you like to read books?,P999,work,2022-02-22
心配で、という形容詞,worried,P999,work,2022-02-22
緊張して、という形容詞,nervous,P999,work,2022-02-22
私は今日は疲れているように感じます。,I feel tired today.,P999,work,2022-02-22
いいね！,It sounds good.,P999,work,2022-02-22
くもってきているね,It's getting cloudy.,P999,work,2022-02-22
緊張してきた,I'm getting nervous.,P999,work,2022-02-22
（英語で答えよ）Do children in the picture look sad? （いいえ）,"No, they don't.",P999,work,2022-02-22
（英語で答えよ）What does the volunteer group build? (井戸です）,It builds wells.,P999,work,2022-02-22
子どもたちは幸せそうです。,The children looks happy.,P999,work,2022-02-22
病気ですか？,Are you sick?,P999,work,2022-02-22
今日はお天気がよくなさそうです。,The weather doesn't look good.,P999,work,2022-02-22
私は歩いて学校にきた。,I walked to school.,P999,work,2022-02-22
ブラウン先生は朝、神社を訪れた。,Mr. Brown visited a chrine this morning.,P999,work,2022-02-22
すごく頑張って練習しただろ,You practiced really hard.,P999,work,2022-02-22
私達１時間も待ったよ。,We waited for an hour.,P999,work,2022-02-22
そんなこというなよ。,Don't say things like that.,P999,work,2022-02-22
世界はおもしろい場所でいっぱいだよ,The world is full of interesting places.,P999,work,2022-02-22
(過去形へ）study,studied,P999,work,2022-02-22
(過去形へ）try,tried,P999,work,2022-02-22
(過去形へ）worry,worried,P999,work,2022-02-22
(過去形へ）stop,stopped,P999,work,2022-02-22
(過去形へ）eat,ate,P999,work,2022-02-22
(過去形へ）bring,brought,P999,work,2022-02-22
(過去形へ）come,came,P999,work,2022-02-22
(過去形へ）do,did,P999,work,2022-02-22
(過去形へ）feel,felt,P999,work,2022-02-22
(過去形へ）get,got,P999,work,2022-02-22
(過去形へ）had,have,P999,work,2022-02-22
(過去形へ）make,made,P999,work,2022-02-22
(過去形へ）say,said,P999,work,2022-02-22
(過去形へ）see,saw,P999,work,2022-02-22
(過去形へ）spend,spent,P999,work,2022-02-22
(過去形へ）stand,stood,P999,work,2022-02-22
(過去形へ）take,took,P999,work,2022-02-22
(過去形へ）go,went,P999,work,2022-02-22
彼は帰ったよ,He went home.,P999,work,2022-02-22
二人にチョコレートを作ったよ。,We made some chocolate for you.,P999,work,2022-02-22
彼女を職員室で見かけました。,I saw her in the teachers' room.,P999,work,2022-02-22
ピアノを練習しました。,I practiced the piano.,P999,work,2022-02-22
たまは10min前に帰宅しました。,Tama came home about 10 minutes ago.,P999,work,2022-02-22
今、視線を感じたよ。,I feltt your eyes on me.,P999,work,2022-02-22
試験までの日数を数えよう,Let's counttt down the days to the exams.,P999,work,2022-02-22
ひまなときはどんなふうにすごしますか？,How do you spend you free time?,P999,work,2022-02-22
辞書を持ってきましたか？,Did you bring your dictionary?,P999,work,2022-02-22
誰がこの写真を撮ったのですか？,Who took this picture?,P999,work,2022-02-22
（英語で答えよ）Did your mother like your present?,"Yes, she did.",P999,work,2022-02-22
どう感じましたか？,What did you feel?,P999,work,2022-02-22
何が起きたの？,What is happpend?,P999,work,2022-02-22
私は早起きが好きです。,I like to get up early.,P999,work,2022-02-22
ライオンは親からどんなことを学ぶのですか？,What do lions learn from their parents?,P999,work,2022-02-22
彼らはフィッシュアンドチップスを食べた。,They ate fish and chips.,P999,work,2022-02-22
彼らは素晴らしい花火を見た。,They saw some great fireworks.,P999,work,2022-02-22
私達は今日大英博物館を訪れた。,We visited the British Museum today.,P999,work,2022-02-22
私達は今年はおせちを作りませんでした。,We didn't make osechi this year.,P999,work,2022-02-22
大英博物館は面白いものでいっぱいです。,The British Museum is full of interesting things.,P999,work,2022-02-22
なんてすてきなの！,That's nice!,P999,work,2022-02-22
私達は元日に特別なことをしませんでした。,We did nothing special on new Year's Day.,P999,work,2022-02-22
おなかいっぱい。,I'm full.,P999,work,2022-02-22
それぞれのクラスは４０人生徒がいます。,Each class has 40 students.,P999,work,2022-02-22
それぞれの人が手を持っている。,Each man has hands.,P999,work,2022-02-22
それぞれの車にエンジンがある。,Each car has an engine.,P999,work,2022-02-22
ひまなとき何をしてすごすの？,How do you spend your free time?,P999,work,2022-02-22
明日早めに学校に行く必要があります。,I need to go to school early tomorrow.,P999,work,2022-02-22
早寝早起きがすきです。,I like to get up early and go to bed early.,P999,work,2022-02-22
今日宿題がたくさんあったの。,I had a lot of homework today.,P999,work,2022-02-22
傘持ってこなかったよ。,I didn't bring my umbrella.,P999,work,2022-02-22
あの古い緑の車、かっこいいね。,Tha old green car is cool.,P999,work,2022-02-22
黒板の地図を見てみてよ。,Look at the map on the blackboard.,P999,work,2022-02-22
あの店のそのパンはとてもうまい。,The bread at that shop is very good.,P999,work,2022-02-22
その学校の音楽の授業は楽しい。,The music class at the school is interesting.,P999,work,2022-02-22
髪の短い女の子がまゆみです。,The girl with short hair is Mayumi.,P999,work,2022-02-22
お腹の大きい男の子がいぶきです。,The boy with fatty weast is Ibuki.,P999,papa,2022-02-22
足の臭い男の子がいぶきです。,The boy with smelled legs is Ibuki.,P999,papa,2022-02-22
