question,answer,category,page,grade,made_date,exam
それは私の初めての海外旅行です,It's my first trip abroad.,textbook,P9,2,2022/05/07,2nd-1st-middle
私はとても興奮しています。,I'm so excited.,textbook,P9,2,2022/05/07,2nd-1st-middle
私は叔母と彼女の夫と一緒にいるつもりです。,I'm going to stay with my aunt and her husband.,textbook,P9,2,2022/05/07,2nd-1st-middle
彼らは私を案内してくれるでしょう。,They're going to show me around.,textbook,P9,2,2022/05/07,2nd-1st-middle
あなたはどうですか？,How about you?,textbook,P9,2,2022/05/07,2nd-1st-middle
休みに何か計画をしていますか？,Do you have any plans for the holidays?,textbook,P9,2,2022/05/07,2nd-1st-middle
私たちは今日何をしますか？,What are we going to do today?,textbook,P10,2,2022/05/07,2nd-1st-middle
最初にマーライオンパークに訪問します,"First, we're going to visit Merlion Park.",textbook,P10,2,2022/05/07,2nd-1st-middle
公園はここから遠いですか？,Is the park far from here?,textbook,P10,2,2022/05/07,2nd-1st-middle
すぐにマーライオンが見えます,You'll she the Merlion soon.,textbook,P10,2,2022/05/07,2nd-1st-middle
その後昼食を取ります,"After that, we're going to have lunch.",textbook,P10,2,2022/05/07,2nd-1st-middle
あなたは何が食べたいですか？,What do you want to eat?,textbook,P10,2,2022/05/07,2nd-1st-middle
シーフードまたはチキンライスですか？,Sea food or chicken rice?,textbook,P10,2,2022/05/07,2nd-1st-middle
私はシーフードが食べたいです,I want to eat seafood.,textbook,P10,2,2022/05/07,2nd-1st-middle
私は予約する予定です,I'll make a reservation.,textbook,P10,2,2022/05/07,2nd-1st-middle
私たちは今マーライオンパークにいます,We're now in Merlion Park.,textbook,P12,2,2022/05/07,2nd-1st-middle
マーライオンをお見せします,I'll show you the Merlion.,textbook,P12,2,2022/05/07,2nd-1st-middle
それはシンガポールのシンボルです,It's a symbol of Singapore.,textbook,P12,2,2022/05/07,2nd-1st-middle
マーは海を意味します,"""Mer"" means ""sea.""",textbook,P12,2,2022/05/07,2nd-1st-middle
マーライオンは蛇の体とライオンの頭を持っています,The Merlion has the body of a fish and the head of a lion.,textbook,P12,2,2022/05/07,2nd-1st-middle
それは8.6mの高さで70トンの重さがあります,"It's 8.6 meters tall, and it weights 70 tons.",textbook,P12,2,2022/05/07,2nd-1st-middle
たくさんの人がそれの写真を撮っていました。,A lot of people are talking pictures of it.,textbook,P12,2,2022/05/07,2nd-1st-middle
公園の近くにはいくつかのお土産屋さんがありました,There are some gift shops near the park.,textbook,P12,2,2022/05/07,2nd-1st-middle
私はみんなにいくつかのお土産を買いました,I bought some gifts for everyone.,textbook,P12,2,2022/05/07,2nd-1st-middle
私はジョシュにこれらのマーライオンクッキーをあげます,"I'll give you these Merlion cookies, Josh.",textbook,P12,2,2022/05/07,2nd-1st-middle
あなたはあのフェリス観覧車を見ることができますか？,Can you see that Ferris wheel?,textbook,P12,2,2022/05/07,2nd-1st-middle
私たちは昼食の後あれに乗ります,We're going to ride it after lunch.,textbook,P12,2,2022/05/07,2nd-1st-middle
今日私たちはマーライオンパークに訪問して観覧車に乗りました。,Today we visited Merlion Park and rode the Ferris wheel.,textbook,P12,2,2022/05/07,2nd-1st-middle
人々はそれをシンガポールフライヤーと呼びます,People call it the Singapore flyer.,textbook,P12,2,2022/05/07,2nd-1st-middle
それは私たちを165メートルまであげました,It took us up to 165 meters.,textbook,P12,2,2022/05/07,2nd-1st-middle
怖かったけど楽しかったです。,"It was scary, but fun.",textbook,P12,2,2022/05/07,2nd-1st-middle
私たちはショッピングにも行きました,"We went shopping, too.",textbook,P12,2,2022/05/07,2nd-1st-middle
シンガポールで、マレー語、中国語、タミル語、英語の4つの異なる言語を見つけました。,"I found four different languages on Singapore money-Malay, Chinese, Tamil, and English.",textbook,P12,2,2022/05/07,2nd-1st-middle
海外旅行はとても楽しかったです,Overseas trips are very interesting.,textbook,P12,2,2022/05/07,2nd-1st-middle
さまざまな言語や文化を体験できます,We can experience different languages and cultures,textbook,P12,2,2022/05/07,2nd-1st-middle
私の家の近くにはいいカレーのお店があります,There's a good curry restaurant near my house.,textbook,P24,2,2022/05/07,2nd-1st-middle
私はいつかそこに行きたいです,I want to go there sometimes.,textbook,P24,2,2022/05/07,2nd-1st-middle
めぐとかいとは次の日曜日にそこに行きます,Meg and Kaito will go there this Sunday.,textbook,P24,2,2022/05/07,2nd-1st-middle
時間があったら私たちは一緒に行きたいです。,"If you have time, we can go with them.  ",textbook,P24,2,2022/05/07,2nd-1st-middle
私はカレーピラフを食べたいです,I want to eat curry pilaf.,textbook,P24,2,2022/05/07,2nd-1st-middle
ご存知のように、カレーとライスはもともと海外から日本に来ました。,"You know, curry and rice originally came to Japan from overseas.",textbook,P24,2,2022/05/07,2nd-1st-middle
インドからですよね？,"From India, right?",textbook,P24,2,2022/05/07,2nd-1st-middle
あなたは半分正しいです。,"Well, you're half right.",textbook,P24,2,2022/05/07,2nd-1st-middle
何を意味しますか？,What do you mean?,textbook,P24,2,2022/05/07,2nd-1st-middle
残りの半分に興味があるなら、この本を読んでください,Read this book if you're interested in the other half.,textbook,P24,2,2022/05/07,2nd-1st-middle
日本人の多くは日本にカレーが来たのはインドからだと思っています,Many people think came to Japan directly from India.,textbook,P26,2,2022/05/07,2nd-1st-middle
しかし本当はアメリカからきたということを知っていますか？,But do you know that it really came from U.K.?,textbook,P26,2,2022/05/07,2nd-1st-middle
18世紀になると、インドからイギリスに特別なカレースパイスが登場し、カレーが人気を博しました。,"
In the 18th century, special curry spices came to the U.K. from India, and curry became popular.",textbook,P26,2,2022/05/07,2nd-1st-middle
その後、英国の会社がカレー粉を製造して販売しました。,"
Later, a British company produced curry powder for sale.
",textbook,P26,2,2022/05/07,2nd-1st-middle
カレーの調理が簡単になりました,The cooking of curry became easy.,textbook,P26,2,2022/05/07,2nd-1st-middle
19世紀にカレーが日本にやってきました,"In the 19th century, this curry arrived in Japan.",textbook,P26,2,2022/05/07,2nd-1st-middle
また、彼らは大きなかけらのジャガイモと玉ねぎとにんじんを使いました。,"They also used big pieces of potatos, onions, and carrots.",textbook,P26,2,2022/05/07,2nd-1st-middle
それから彼らはそれをご飯に入れました,Then they put it on rice.,textbook,P26,2,2022/05/07,2nd-1st-middle
訪れた,visited,word,P26,2,2022/05/07,2nd-1st-middle
見た,watched,word,P26,2,2022/05/07,2nd-1st-middle
下,under,word,P26,2,2022/05/07,2nd-1st-middle
そば,by,word,P26,2,2022/05/07,2nd-1st-middle
〜の上,on,word,P26,2,2022/05/07,2nd-1st-middle
〜の近く,near,word,P26,2,2022/05/07,2nd-1st-middle
撮る,take,word,P26,2,2022/05/07,2nd-1st-middle
寝ている,sleeping,word,P26,2,2022/05/07,2nd-1st-middle
興奮した,excited,word,P26,2,2022/05/07,2nd-1st-middle
あそこ,there,word,P26,2,2022/05/07,2nd-1st-middle
人々,People,word,P26,2,2022/05/07,2nd-1st-middle
~するつもり,going to,word,P26,2,2022/05/07,2nd-1st-middle
遅れる,Be late,word,P26,2,2022/05/07,2nd-1st-middle
早く家に帰る,Go home early,word,P26,2,2022/05/07,2nd-1st-middle
雨が降る,rain,word,P26,2,2022/05/07,2nd-1st-middle
買う,buy,word,P26,2,2022/05/07,2nd-1st-middle
どこか,anywhere,word,P26,2,2022/05/07,2nd-1st-middle
清潔にする,clean,word,P26,2,2022/05/07,2nd-1st-middle
食べる,eat,word,P26,2,2022/05/07,2nd-1st-middle
雪が降る,snow,word,P26,2,2022/05/07,2nd-1st-middle
経験する,experience,word,P26,2,2022/05/07,2nd-1st-middle
海外への,overseas,word,P26,2,2022/05/07,2nd-1st-middle
絶好の,golden,word,P26,2,2022/05/07,2nd-1st-middle
休日,holiday,word,P26,2,2022/05/07,2nd-1st-middle
外国に,abroad,word,P26,2,2022/05/07,2nd-1st-middle
おば,aunt,word,P26,2,2022/05/07,2nd-1st-middle
おじ,uncle,word,P26,2,2022/05/07,2nd-1st-middle
夫,husband,word,P26,2,2022/05/07,2nd-1st-middle
妻,wife,word,P26,2,2022/05/07,2nd-1st-middle
国,countrie,word,P26,2,2022/05/07,2nd-1st-middle
写真を撮る,Take a picture,word,P26,2,2022/05/07,2nd-1st-middle
先生である,Be a teacher,word,P26,2,2022/05/07,2nd-1st-middle
出てくる,Come out,word,P26,2,2022/05/07,2nd-1st-middle
家にいる,Be at home,word,P26,2,2022/05/07,2nd-1st-middle
遠くに,far,word,P26,2,2022/05/07,2nd-1st-middle
〜だろう,will,word,P26,2,2022/05/07,2nd-1st-middle
シーフード,seafood,word,P26,2,2022/05/07,2nd-1st-middle
予約,reservation,word,P26,2,2022/05/07,2nd-1st-middle
you will の短縮形,You'll she the Merlion soon.,word,P26,2,2022/05/07,2nd-1st-middle
I will の短縮形,I'll,word,P26,2,2022/05/07,2nd-1st-middle
自分,Meg and Kaito will go there this Sunday.,word,P26,2,2022/05/07,2nd-1st-middle
君,you,word,P26,2,2022/05/07,2nd-1st-middle
彼を,him,word,P26,2,2022/05/07,2nd-1st-middle
彼女の,her,word,P26,2,2022/05/07,2nd-1st-middle
我ら,us,word,P26,2,2022/05/07,2nd-1st-middle
彼ら,them,word,P26,2,2022/05/07,2nd-1st-middle
メートル,meter,word,P26,2,2022/05/07,2nd-1st-middle
高い,tall,word,P26,2,2022/05/07,2nd-1st-middle
〜の重さがある,weigh,word,P26,2,2022/05/07,2nd-1st-middle
トン,ton,word,P26,2,2022/05/07,2nd-1st-middle
贈り物,gift,word,P26,2,2022/05/07,2nd-1st-middle
クッキー,cookie,word,P26,2,2022/05/07,2nd-1st-middle
呼ぶ,call,word,P26,2,2022/05/07,2nd-1st-middle
乗る,ride,word,P26,2,2022/05/07,2nd-1st-middle
rideの過去形,rode,word,P26,2,2022/05/07,2nd-1st-middle
恐ろしい,scary,word,P26,2,2022/05/07,2nd-1st-middle
連絡する,communicate,word,P26,2,2022/05/07,2nd-1st-middle
文化,culture,word,P26,2,2022/05/07,2nd-1st-middle
たくやはブログを書きません,Takuya does not write a blog.,note,P999,2,2022/05/07,2nd-1st-middle
どうしましたか？,What's wrong?,note,P999,2,2022/05/07,2nd-1st-middle
頭痛がします,I have a headache.,note,P999,2,2022/05/07,2nd-1st-middle
私はその夜花火を見ました,I saw fireworks thet night.,note,P999,2,2022/05/07,2nd-1st-middle
あなたは何になさいますか？,What would you like?,note,P999,2,2022/05/07,2nd-1st-middle
ステーキをおねがいします,I'd like a steak.,note,P999,2,2022/05/07,2nd-1st-middle
デザートはいかがですか？,Would you like some dessert?,note,P999,2,2022/05/07,2nd-1st-middle
公園にはたくさんの人々がいます,There are many people in the park.,note,P999,2,2022/05/07,2nd-1st-middle
このことは誰にも言いません,I won't tell anyone about this.,note,P999,2,2022/05/07,2nd-1st-middle
これはどのくらい日持ちしますか？,How long will this last?,note,P999,2,2022/05/07,2nd-1st-middle
もうすぐマーライオンが見えるよ,You'll see the Merlion soon.,note,P999,2,2022/05/07,2nd-1st-middle
まっすぐ行けば右側にあるよ,Go straight and you will find it on your right.,note,P999,2,2022/05/07,2nd-1st-middle
それでそのあとにお昼ご飯を食べよう,"And after that, let's eat lunch.",note,P999,2,2022/05/07,2nd-1st-middle
私はあなたに朝食を作ります,I'll make you breakfast.,note,P999,2,2022/05/07,2nd-1st-middle
私にあなたのノートを見せることはできますか？,Can you show me your notebook?,note,P999,2,2022/05/07,2nd-1st-middle
私は彼女に誕生日プレゼントをあげたいです,I want to give her a birthday present.,note,P999,2,2022/05/07,2nd-1st-middle
それを誰に聞いたのですか,Who told you that?,note,P999,2,2022/05/07,2nd-1st-middle
教科書見せてくれる？,Can you show me your textbook?,note,P999,2,2022/05/07,2nd-1st-middle
それ誰にもらったの？,Who gave you that?,note,P999,2,2022/05/07,2nd-1st-middle
聞かないでよ,Don't ask me that.,note,P999,2,2022/05/07,2nd-1st-middle
みんなへのお土産をかった,I bought some gifts for everyone.,note,P999,2,2022/05/07,2nd-1st-middle
私たちはレベッカのことをベッキーと呼んでいます,We call Rebecca Becky.,note,P999,2,2022/05/07,2nd-1st-middle
お姉ちゃんには何て呼ばれるの？,What does your sister call you?,note,P999,2,2022/05/07,2nd-1st-middle
叔母が予約してくれます,My aunt will make a reservation.,note,P999,2,2022/05/07,2nd-1st-middle
私はみんなにおみやげを買いました,I bought everyone some gifts.,note,P999,2,2022/05/07,2nd-1st-middle
次の連休の予定は何かありますか？,Will you have any plants for the next holidays?,note,P999,2,2022/05/07,2nd-1st-middle
その公園はここから遠いですか？,Is the park far from here?,note,P999,2,2022/05/07,2nd-1st-middle
マーライオンは70トンの重さがあります,The Merlion weights 70 tons.,note,P999,2,2022/05/07,2nd-1st-middle
公園の近くにはお土産屋さんがいくつかあります,There are some gift shops near the park.,note,P999,2,2022/05/07,2nd-1st-middle
この街にはいい食事屋がありますか？,Are there any good restaurants in this town?,textbook,P4,2,2022/05/07,2nd-1st-middle
カイトは先週福井に行きましたか？,Did Kaito go to Fukui last week?,textbook,P5,2,2022/05/07,2nd-1st-middle
博物館ではたくさんの人は何を見ていましたか？,"In the museum, what were many people looking at?",textbook,P5,2,2022/05/07,2nd-1st-middle
越前そばはどうでしたか？,How was Echizen soba?,textbook,P5,2,2022/05/07,2nd-1st-middle
私たちは海外旅行で何を経験できますか？,What can we experience on overseas trips?,textbook,P5,2,2022/05/07,2nd-1st-middle
どの国を訪れてみたいですか？,What countries do you want to visit?,textbook,P7,2,2022/05/07,2nd-1st-middle
私は来週シンガポールに行きます,I am going to visit Singapore next week.,textbook,P9,2,2022/05/07,2nd-1st-middle
あなたは来週シンガポールを訪れますか？,Are you going to visit Singapore next week?,textbook,P9,2,2022/05/07,2nd-1st-middle
この今週末あなたは何をしますか？,What are you going to do this weekend?,textbook,P11,2,2022/05/07,2nd-1st-middle
土曜日にお父さんと釣りに行きます,I'm going to go fishing with my father on Saturday.,textbook,P11,2,2022/05/07,2nd-1st-middle
この本はどこ？,Where's the book?,textbook,P11,2,2022/05/07,2nd-1st-middle
私を手伝ってください,Can you help me?,textbook,P11,2,2022/05/07,2nd-1st-middle
私は日本語が読めません,I can't read Japanese.,textbook,P11,2,2022/05/07,2nd-1st-middle
これは難しい,This is difficult.,textbook,P11,2,2022/05/07,2nd-1st-middle
それはいい!,That's nice!,textbook,P11,2,2022/05/07,2nd-1st-middle
とてもありがとう！,Thank you very much!,textbook,P11,2,2022/05/07,2nd-1st-middle
朝美は今どこにいますか？,Where is Asami now?,textbook,P13,2,2022/05/07,2nd-1st-middle
朝美はジョシュに何を買いましたか？,What did Asami buy for Josh?,textbook,P13,2,2022/05/07,2nd-1st-middle
朝美は昼食の後どこに行きますか？,What is Asami going to do after lunch?,textbook,P13,2,2022/05/07,2nd-1st-middle
