question,answer,page,made_date
1467年に京都を中心に起こった戦は何と呼ぶか,応仁の乱,P304,2021/08/25
応仁の乱の後には各地に領国内の武士を家臣として従え独自に領国と領民を支配するものが現れた。このような人たちをなんと呼ぶか,戦国大名,P305,2021/08/25
各地で戦乱が繰り広げられた15世紀末からの約100年間をなんと呼ぶか,戦国時代,P305,2021/08/25
義満の時代の文化をなんと呼ぶか,北山文化,P306,2021/08/25
観阿弥・世阿弥父子によって洗練された芸術性の高い何が大成されたか,能,P306,2021/08/25
能は誰によって大成されたか,観阿弥・世阿弥父子,P306,2021/08/25
足利義政は京都の東山に何を建てたか,銀閣,P307,2021/08/25
義政の時代の文化をなんと呼ぶか,東山文化,P307,2021/08/25
日本的な水墨画様式を大成させたのは誰か,雪舟,P307,2021/08/25
能の合間には何が演じられていたか,狂言,P308,2021/08/25
カトリック教会は誰を中心に人々に広まっていったか,ローマ法皇,P314,2021/08/25
7世紀の初めにイスラム帝国を築いたのは誰か,ムハンマド,P314,2021/08/25
モナ＝リザを書いたのは誰か,レオナルド＝ダ＝ヴィンチ,P316,2021/08/25
イタリア人の誰はインドを目指して大西洋を西へと進んだか,コロンブス,P317,2021/08/25
ポルトガル人の誰は世界を一周しようとしたか,マゼラン,P317,2021/08/25
ポルトガル人の誰はインド航路の開拓を命じられて、1498年にカリブ海の西インド諸島に到着したか,バスコ＝ダ＝ガマ,P317,2021/08/25
1543年、暴風雨にあい種子島に漂着した中国船に乗っていたポルトガル人から種子島時たかは何を買ったか,鉄砲,P319,2021/08/25
鉄砲は何人により日本に伝えられたか,ポルトガル人,P319,2021/08/25
1549年にやってきた誰は日本にキリスト教を広めようとしたか,フランシスコ＝ザビエル,P319,2021/08/25
フランシスコ＝ザビエルは1549年に、日本にキリスト教を広めるためにどこに上陸したか,鹿児島県,P319,2021/08/25
南蛮人との貿易をなんと呼ぶか,南蛮貿易,P319,2021/08/25
1560年に起こった戦いで織田信長は今川義元を少数の軍勢で打ち破った。この戦いをなんの戦いと呼ぶか,桶狭間の戦い,P320,2021/08/25
1575年に起こった何の戦いでは、大量の鉄砲を使用した信長軍が武田勝頼に勝利したか,長篠の戦い,P320,2021/08/25
信長は1576年、琵琶湖沿岸に5層7階の壮大な天守を持つ平山城の何城を築き天下統一の本拠地にしたか,安土桃山城,P321,2021/08/25
信長は1576年、琵琶湖沿岸に5層7階の壮大な何を持つ平山城の安土桃山城を築き天下統一の本拠地にしたか,天守,P321,2021/08/25
安土城城下では誰でも自由に商売を行うことを許す何の制策をとり、経済の発展を図ったか,楽市・楽座,P321,2021/08/25
1582年、信長は京都の本能寺で家臣の明智光秀に襲われて自害した。この事件のことをなんと呼ぶか,本能寺の変,P321,2021/08/25
1582年に、信長は京都の本能寺で家臣の誰に襲われて自害したか,明智光秀,P321,2021/08/25
豊臣秀吉は何の戦いで明智光秀を討ち取ったか,山崎の戦い,P322,2021/08/26
豊臣秀吉は石山本願寺跡に何城を築いたか,大阪城,P322,2021/08/26
豊臣秀吉はものさしとますを統一し、全国同じ基準で検地を行った。このことをなんと呼ぶか,太閤検地,P323,2021/08/26
1588年、秀吉は何令を出し、京都の方広寺大仏殿のくぎやかすがいの材料にするためと称して、百姓から刀ややり、鉄砲などを差し出させたか。,刀狩令,P323,2021/08/26
秀吉は何令を出し、武士と農民を区別する兵農分離が進んだか,身分統制令,P323,2021/08/26
秀吉が身分統制令を出したため、武士と農民を区別する何が進んだか,兵農分離,P323,2021/08/26
宣教師の国外追放のことをなんと呼ぶか,バテレン追放令,P324,2021/08/26
天守のある城郭建築は戦国大名の何を示すものであるか,権威,P325,2021/08/26
わび茶を完成させたのは誰か,千利休,P326,2021/08/26
出雲の阿国という女性が京都で始めた何も民衆の人気を集めたか,かぶき踊り,P326,2021/08/26
何という女性が京都で始めたかぶき踊りも民衆の人気を集めたか,出雲の阿国,P326,2021/08/26
南蛮貿易によって何文化が広がったか,南蛮文化,P326,2021/08/26
幼少期は織田・今川氏の人質として暮らした、三河の国人松平家出身の武将は誰か,徳川家康,P327,2021/08/26
徳川家康は1600年、何の戦いで豊臣政権を守ろうとした石田三成らを倒したか,関ヶ原の戦い,P327,2021/08/26
1603年、徳川家康は征夷大将軍に任命された。そのため家康は何幕府を開いたか,江戸幕府,P327,2021/08/26
江戸に幕府が置かれた260年余りを何時代と呼ぶか,江戸時代,P327,2021/08/26
徳川家康は豊臣家をなんという戦で滅ぼしたか,大阪の陣,P327,2021/08/26
関ヶ原の戦いで秀頼は一大名の地位に転落し、家康は征夷大将軍への道を開いた。そのため関ヶ原の戦いのことをなんと呼ぶこともあるか,天下分け目の戦い,P327,2021/08/26
将軍から1万石以上の領地を与えられた武士のことをなんと呼ぶか,大名,P328,2021/08/26
大名の領地とその支配機構をなんと呼ぶか,藩,P328,2021/08/26
幕府と藩がそれぞれ土地と人民を支配する江戸時代の政治体制のことをなんと呼ぶか,幕藩体制,P328,2021/08/26
徳川氏との関係に基づき大名を３つに分けたとき、徳川氏の親族のことをなんと呼ぶか,親藩,P328,2021/08/26
親藩の中でも、尾張・水戸・紀伊の徳川家のことをなんと呼んだか,御三家,P328,2021/08/26
徳川氏との関係に基づき大名を３つに分けたとき、関ヶ原の戦い以前から徳川氏の家臣であった大名のことをなんと呼ぶか,譜代大名,P328,2021/08/26
徳川氏との関係に基づき大名を３つに分けたとき、関ヶ原の戦いの前後に徳川氏に従った大名のことをなんと呼ぶか,外様大名,P328,2021/08/26
1615年、幕府はなんという法律を制定しこれに反した大名は改易や転封などの厳罰を受けたか,武家諸法度,P329,2021/08/26
1635年、参勤交代の制度と大船の建造禁止などの法令を武家諸法度に追加したのは誰か,徳川家光,P329,2021/08/29
1615年に制定された、天皇が政治に関わることを禁じるなどということが書かれた憲法のことをなんと呼ぶか,禁中並公家諸法度,P329,2021/08/29
百姓は田畑を所有して年貢を納める義務を持つ本百姓と、土地を持たない何百姓に区別されたか,水呑百姓,P330,2021/08/29
百姓は田畑を所有して年貢を納める義務を持つ何百姓と、土地を持たない水呑百姓に区別されたか,本百姓,P330,2021/08/29
本百姓に何を作らせ、犯罪が起きないように互いに監視させるとともに年貢の納入に共同責任を負わせたりしたか,5人組,P330,2021/08/29
朱印船に乗る商人には何を与えたか,朱印状,P332,2021/08/29
東南アジア各地に進出した日本人が多く集まって住んだところに何ができたか,日本町,P332,2021/08/29
1613年には何令が出されキリスト教を禁止したか,禁教令,P333,2021/08/29
江戸幕府3代将軍の誰は外国船の来航を長崎・平戸に限定したか,徳川家光,P333,2021/09/01
1637年に天草ではキリシタンを弾圧し重い年貢を取り立てたため何一揆が起こったか,島原・天草一揆,P333,2021/09/01
島原・天草一揆の後、幕府はキリスト教信者を見つけ出すため役人の前でイエスやマリアの絵をふませる何を強化しキリスト教徒を摘発するための密告を奨励したか。,絵踏,P334,2021/09/01
島原・天草一揆の後、幕府はキリスト教信者を見つけ出すため役人の前でイエスやマリアの何を踏ませる絵踏を強化しキリスト教徒を摘発するための密告を奨励したか。,踏絵,P334,2021/09/01
長崎の出島ではどこと貿易を行っていたか,オランダ,P334,2021/09/01
中国では17世紀後半に明が滅んで何が建国されたか,清,P334,2021/09/01
17世紀ごろから朝鮮は将軍の代がわりごとに祝賀の使節の何を日本に派遣するようになったか,朝鮮通信使,P334,2021/09/01
1669年にアイヌ民族は自由な交易を求めてアイヌの首長の誰を中心に戦いを起こしたか,シャクシャイン,P335,2021/09/01
江戸は政治の中心地であったためなんと呼ばれていたか,将軍のおひざもと,P338,2021/09/01
大阪は商業の中心地であったためなんと呼ばれていたか,天下の台所,P338,2021/09/01
商人は営業の独占を図ったためなんという同業者組合を結成したか,株仲間,P339,2021/09/01
江戸幕府5代将軍はだれか,徳川綱吉,P342,2021/09/01
徳川綱吉は動物愛護令である何をしばしば出したか,生類憐みの令,P342,2021/09/01
徳川綱吉は犬を大事にしていたことからなんと呼ばれていたか,犬公方,P342,2021/09/01
江戸幕府6代将軍はだれか,徳川家宣,P343,2021/09/04
江戸幕府7代将軍はだれか,徳川家継,P343,2021/09/04
徳川家宣と徳川家継に仕えた儒学者は誰か,新井白石,P343,2021/09/04
江戸幕府8代将軍は誰か,徳川吉宗,P343,2021/09/04
徳川吉宗は幕府財政を再建するために贅沢を禁じ、質素・倹約を旨とした何の改革を行ったか,享保の改革,P343,2021/09/04
享保の改革では裁判を公平なものとするためになんという裁判の基準となる法令を定めたか,公事方御定書,P343,2021/09/04
享保の改革では庶民の意見を取り入れるために何を設置したか,目安箱,P343,2021/09/04
目安箱により防火対策として何が設置されたりしたか,町火消,P343,2021/09/04
享保の改革ではききんに備えるために痩せた土地でも育つ何の栽培の研究を青木昆陽にさせたか,甘薯（さつまいも）,P343,2021/09/04
享保の改革ではききんに備えるために痩せた土地でも育つ甘薯（さつまいも）の栽培の研究を誰にさせたか,青木昆陽,P343,2021/09/04
江戸幕府9代将軍の徳川家重に取り立てられ旗本から大名になったのは誰か,田沼意次,P347,2021/09/04
仏教や儒教が入ってくる前の日本人の考え方を明らかにしようとする学問のことをなんと呼ぶか,国学,P347,2021/09/05
誰が古事記伝を著して国学を大成したか,本居宣長,P348,2021/09/05
ターヘル-アナトミアを翻訳したのは中津藩の誰と小浜藩の誰か,前野良沢・杉田玄白,P348,2021/09/05
ターヘル-アナトミアは翻訳されてからなんと呼ばれて販売されたか,解体新書,P348,2021/09/05
大日本沿海輿地全図を作ったのは誰か,伊能忠敬,P348,2021/09/05
萩（山口県）の松下村塾誰が弟子の教育にあたったか,吉田松陰,P349,2021/09/05
庶民の初等教育機関のことを何と呼ぶか,寺子屋,P349,2021/09/05
19世紀の初めの文化・文政時代江戸を中心とした庶民を担い手とするなに文化が発達したか,化政文化,P349,2021/09/05
東海道中膝栗毛の作者は誰か,十返舎一九,P350,2021/09/05
19世紀の初めには幕府批判や世の中を皮肉るような内容を和歌の形式で詠んだ狂歌、俳句の形式で詠んだ何が流行したか,川柳,P350,2021/09/05
19世紀の初めには幕府批判や世の中を皮肉るような内容を、和歌の形式で詠んだ何と俳句の形式で詠んだ川柳が流行したか,狂歌,P350,2021/09/05
19世紀初めに、画風の中でも庶民からの人気があったのは何か,浮世絵,P350,2021/09/05
19世紀初めに旅行手形も用意せずに集団で参詣する何参りは周期的に爆発的な流行を見せたか,おかげ参り,P350,2021/09/05
樺太が島であることを確認したのは誰か,間宮林蔵,P351,2021/09/05
大塩の乱では誰が挙兵したか,大塩平八郎,P351,2021/09/05
天保の改革を行ったのは老中の誰であるか,水野忠邦,P352,2021/09/05
水野忠邦は物価高の元凶は株仲間であるとして何を命じたか,株仲間の解散,P352,2021/09/05
水野忠邦は江戸・大阪周辺の大名や旗本の領地を幕府の直轄地にしようと何をだしたか,上知令,P352,2021/09/05
鍋島直正は日本初の何を作ったか,反射炉,P352,2021/09/05
イギリスでは16世紀後半に女王エリザベス1世が何を完成させたか,絶対王政,P360,2021/09/05
ルイ14世は17世紀後半にパリ郊外に何を作ったか,ベルサイユ宮殿,P360,2021/09/05
イギリスでは1649年、国王チャールズ1世を処刑して共和政を樹立した。このことを何と呼ぶか,ピュータリン革命,P361,2021/09/05
1688年イギリスでは流血なく革命を達成した。このことを何と呼ぶか,名誉革命,P361,2021/09/05
1775年、イギリス本国と植民地との武力衝突をきっかけに何が始まったか,アメリカ独立戦争,P362,2021/09/05
1776年に植民地の代表者がフィラデルフィアに集まりジェファーソンらが起草した何を発表したか,独立宣言,P362,2021/09/05
アメリカ合衆国初代大統領は誰か,ワシントン,P362,2021/09/12
1799年、諸外国を撃退した軍人のだれが総裁政府を倒し革命の終結を宣言したか,ナポレオン,P363,2021/09/12
イギリスでは1769年にワットが何の改良に成功したか,蒸気機関,P364,2021/09/12
アメリカ合衆国16代大統領は誰か,リンカン,P366,2021/09/12
1861年、アメリカ合衆国では国を二分する何が始まったか,南北戦争,P366,2021/09/12
1863年にリンカンは何宣言をだしたか,奴隷解放宣言,P366,2021/09/12
ドイツで鉄血宰相と呼ばれたのは誰か,ビスマルク,P367,2021/09/12
1840年イギリスはドイツに戦争を仕掛けた。この戦争のことを何と呼ぶか,アヘン戦争,P369,2021/09/12
1853年、誰は日本に開国を求める国書を携え4隻の軍艦を従え浦賀にやってきたか,ペリー,P371,2021/09/12
1854年幕府は再び来航したペリーの圧力に屈して何条約を結んだか,日米和親条約,P371,2021/09/12
日米和親条約では日本の中のどことどこの港を開けるということを約束したか,下田・函館,P371,2021/09/12
アメリカと日米和親条約を結んでしまったためイギリス・ロシア・フランスとも和新条約を結んだ。こうして鎖国政策は崩れ日本は何をすることになったか,開国,P371,2021/09/12
1853年、ペリーは日本に開国を求める国書を携え4隻の軍艦を従えどこにやってきたか,浦賀,P371,2021/09/12
1858年大老の誰は日米修好通商条約を結んだか,井伊直弼,P372,2021/09/12
日米修好通商条約ではどことどことどことどことどこの五つの港を開港し下田を閉鎖することを約束したか,函館・神奈川（横浜）・長崎・新潟・兵庫（神戸）,P372,2021/09/12
日米修好通商条約では何を認め日本には関税自主権がないものとしたか,領事裁判権,P372,2021/09/12
日米修好通商条約では領事裁判権を認め日本には何がないものとしたか,関税自主権,P372,2021/09/12
天皇を尊ぶ尊王論と外国を排除しようという攘夷論が結びつき何運動へと進んで行ったか,尊王攘夷論運動,P373,2021/09/12
井伊直弼は幕府を批判する大名や公家などを厳しく取り締まり100名以上を処罰した。このことを何と呼ぶか,安政の大獄,P373,2021年9月16日
井伊直弼は江戸城への登城途中で安政の大獄に反発した水戸藩の元藩士らの襲撃を受け暗殺された。このことを何と呼ぶか,桜田門外の変,P373,2021年9月16日
1866年に土佐藩出身の誰や中岡慎太郎らの仲立ちによって薩摩藩の西郷隆盛と長州藩の水戸孝之らが薩長同盟を結んだか,坂本龍馬,P374,2021年9月16日
1866年に土佐藩出身の坂本龍馬や中岡慎太郎らの仲立ちによって薩摩藩の西郷隆盛と長州藩の水戸孝之らが何を結んだか,薩長同盟,P374,2021年9月16日
討幕に反対していた孝明天皇が亡くなって1867年に何天皇が即位したか,明治天皇,P375,2021年9月16日
江戸幕府15代将軍は誰か,徳川慶喜,P375,2021年9月16日
徳川慶喜は政権を朝廷に返還することを申し出た。このことを何と呼ぶか,大政奉還,P375,2021年9月16日
江戸幕府に変わって成立した新政府は日本を近代国家にするために様々な改革を行った。これらの改革に伴う社会の変化を何と呼ぶか,明治維新,P376,2021年9月16日
1868年3月新しい政治の方針として会議で物事を決めることや知識を世界に求めることなどを天皇が神に誓うという形で発表した。これを何と呼ぶか,五箇条の御誓文,P376,2021年9月16日
新政府は1869年、薩摩・長州・土佐・肥前の四藩主に土地（版）と人民（籍）を天皇に変えさせえて、全国の大名にもこれを習わせた。このことを何と呼ぶか,版籍奉還,P376,2021年9月16日
府知事・県令（のちに県知事）が農民から年貢（税）をおさめ政治を行うことを何と呼ぶか,廃藩置県,P377,2021年9月16日
新政府は士族と市民を法的な身分状の差別をなくしたこのことを何と呼ぶか,四民平等,P377,2021年9月16日
経済を活性化させて近代産業を起こすことを何と呼ぶか,殖産興業,P378,2021年9月16日
殖産興業によって手に入れた富をもとに強力な軍事組織を作るということを何と呼ぶか,富国強兵,P378,2021年9月16日
明治時代、満二十歳以上の男子に兵役の義務を追加した。この義務のことを何と呼ぶか,徴兵令,P379,2021年9月16日
重要な生糸を生産するために1872年官営模範工場として群馬県に何を開いたか,富岡製糸工場,P380,2021年9月16日
1870年代から西洋の生活様式から思想を手に入れる風潮が流行した。このことを何とよぶか,文明開化,P381,2021年9月16日
誰は学問のすゝめで「天は人の上に人を造らず人の下に人を造らず」と著して人は生まれながらに平等であると説いたか,福沢諭吉,P381,2021年9月18日
福沢諭吉は何で「天は人の上に人を造らず人の下に人を造らず」と著して人は生まれながらに平等であると説いたか,学問のすゝめ,P381,2021年9月18日
誰はルソーの『社会契約論』を訳して『民約訳解』を著し、人は生まれながらに自由で平等であると説いたか,中江兆民,P381,2021年9月18日
中江兆民はルソーの何を訳して『民約訳解』を著し、人は生まれながらに自由で平等であると説いたか,社会契約論,P381,2021年9月18日
中江兆民はルソーの社会契約論を訳して何を著し、人は生まれながらに自由で平等であると説いたか,民約訳解,P381,2021年9月18日
岩倉使節団の全権大使は誰か,岩倉具視,P382,2021年9月18日
岩倉具視率いる使節団のことをなんと呼ぶか,岩倉使節団,P382,2021年9月18日
女子英学塾（現津田塾大学）は誰によって設立されたか,津田梅子,P382,2021年9月18日
1875年何条約で樺太がロシア領、千島列島が日本領となったか,樺太・千島交換条約,P382,2021年9月18日
1877年に起こった西南戦争は誰が中心となって起こった戦争であるか,西郷隆盛,P384,2021年9月18日
1877年に起こった何戦争は西郷隆盛が中心となって起こった戦争であるか,西南戦争,P384,2021年9月18日
誰は藩閥政治を批判し1874年に民撰議院設立の建白書を政府に提出して国民の政治参加を求めたか,板垣退助,P384,2021年9月18日
板垣退助は藩閥政治を批判し1874年に何を政府に提出して国民の政治参加を求めたか,民撰議院設立の建白書,P384,2021/09/19
板垣退助は藩閥政治を批判し1874年に民撰議院設立の建白書を政府に提出して国民の政治参加を求めた。このような運動のことをなんと呼ぶか,自由民権運動,P384,2021/09/19
1881年には板垣退助を党首とする何が作られたか,自由党,P385,2021/09/19
1881年には誰を党首とする自由党が作られたか,板垣退助,P385,2021/09/19
1882年には誰を党首とする立憲改進党が結成されたか,大隈重信,P385,2021/09/19
1882年には大隈重信を党首とする何が結成されたか,立憲改進党,P385,2021/09/19
憲法制定のため1882年誰らをヨーロッパに派遣したか,伊藤博文,P386,2021/09/19
帝国議会は何院と衆議院の二院で構成されているか,貴族院,P387,2021/09/19
帝国議会は何院と貴族院の二院で構成されているか,衆議院,P387,2021/09/19
1890年忠君愛国の精神を養うために何を定め日本の教育の根本方針としたか,教育勅語,P387,2021/09/19
1890年衆議院議員を選ぶ総選挙が行われ第一回何が開かれたか,帝国議会,P387,2021/09/19
第一回帝国議会の衆議院議員の選挙権は直接国税を何円以上収める満25歳以上の男子のみだったか,15円,P387,2021/09/19
第一回帝国議会の衆議院議員の選挙権は直接国税を15円以上収める満何歳以上の男子のみだったか,25歳,P387,2021/09/19
第一回帝国議会の衆議院議員の選挙権は直接国税を15円以上収める満25歳以上の男子のみだったため投票できたのは地主や裕福な市民に限られ全国民に占める割合はわずか何%（約45万人）だったか,約1.1%,P387,2021/09/19
外務卿の誰は極端な欧化政策を取り鹿鳴館で舞踏会を開いて欧米諸国の気を引こうとしたか,井上馨,P388,2021/09/19
外務卿の井上馨は極端な何を取り鹿鳴館で舞踏会を開いて欧米諸国の気を引こうとしたか,欧化政策,P388,2021/09/19
1894年、領事裁判権（治外法権）を撤廃させたのは誰か,陸奥宗光,P389,2021/09/19
1911年、外務大臣の誰はアメリカとの間で、日本の関税自主権を完全回復する日米通商航海条約が結ばれたか,小村寿太郎,P389,2021/09/20
資本主義の発達した国は、軍事力により植民地を獲得するため海外へ進出していった。こうした動きをなんと呼ぶか,帝国主義,P390,2021/09/20
1895年に日本お清は下関（山口県）で講和会議を開き何を結んだか,下関条約,P391,2021/09/20
1904年日本はロシアに宣戦布告しなに戦争が始まったか,日露戦争,P394,2021/09/20
革命運動の失敗により日本に逃れていた、誰は1905年、東京で革命団体を結集して中国同盟会を結成し、「民族主義・民権主義・民主主義」の三民主義を唱えて革命運動を中国国外から指導をしていたか,孫文,P397,2021/09/20
革命運動の失敗により日本に逃れていた、孫文は1905年、東京で革命団体を結集して中国同盟会を結成し、「民族主義・民権主義・民主主義」の何を唱えて革命運動を中国国外から指導をしていたか,三民主義,P397,2021/09/20
1912年に起こった清朝の皇帝の溥儀を退位させるという事件のことをなんと呼ぶか,辛亥革命,P399,2021/09/20
1901年に操業を開始し日本の重工業の基礎となった工場の名前をなんと呼ぶか,八幡製鉄所,P399,2021/09/20
1910年誰とその仲間26名が天皇の暗殺を企てたという理由で逮捕され翌1911年に誰を含む12名が処刑される大逆事件がおこったか,幸徳秋水,P401,2021/09/20
1910年幸徳秋水とその仲間の26名が天皇の暗殺を企てたという理由で逮捕され翌1911年に幸徳秋水を含む12名が処刑される何事件がおこったか,大逆事件,P401,2021/09/20
破傷風の血清療法を発見して伝染病研究所を設立したのは誰か,北里柴三郎,P402,2021/09/20
黄熱病を研究し、1000円札の肖像画にもなっている人物は誰か,野口英世,P402,2021/09/20
義務教育期間の延長は何によって発布されたか,学制,P402,2021/09/20
1890年忠君愛国の精神を養う為何が発布されたか,教育勅語,P402,2021/09/22
19世紀後半帝国主義政策に遅れたドイツは3B政策を取りどことどことの３国同盟を結んだか,オーストリア・イタリア,P410,2021/09/22
3C政策を取るイギリスは日露戦争に敗れたロシアとの関係を改善しどことどこで3国協商を結んだか,ロシア・フランス,P410,2021/09/22
オーストリアがセルビアに宣戦すると同盟国側と連合国側で何が始まったか,第一次世界大戦,P411,2021/09/22
1917年誰の指示によりロシア国内で革命が起きたか,レーニン,P412,2021/09/22
バルカン半島はオーストリアに攻め込まれたり、独立運動が起こっていたためいつ戦争が起こるか分からない状態だった。そのためなんと呼ばれていたか,ヨーロッパの火薬庫,P410,2021/09/22
干渉戦争に勝ったソビエト政府は1922年に世界初の社会主義国家である何を建国したか,ソビエト社会主義共和国連邦,P412,2021/09/22
日本はヨーロッパなどへ向けての輸出が増加し重化学工業も発達した。そのため好景気になったのでなんと呼ばれる大金持ちも生まれてきたか,成金,P413,2021/09/22
米の安売りを求める運動のことをなんと呼ぶか,米騒動,P413,2021/09/22
1920年世界初の国際的な平和を守るための組織として何が成立したか,国際連盟,P414,2021/09/22
第一次世界大戦後、非暴力・不服従を唱える誰の指導のもとにさらに完全な自治を要求する運動を推し進めたか,ガンディー,P416,2021/09/22
日本は大正時代に自由主義と民主主義を求める風潮が高まった。この風潮のことをなんと呼ぶか,大正デモクラシー,P417,2021/09/22
1918年米騒動の責任をとって寺内正毅内閣が倒れると立憲政友会の総裁で衆議院議員の誰が内閣総理大臣となったか,原敬,P418,2021/09/22
1924年に第二次護憲運動が起こった。そのため同年に憲政会総裁の誰を首相とする内閣が設立したか,加藤高明,P418,2021/09/22
1925年に加藤内閣はそれまであった選挙権の納税条件を撤廃し満何歳以上のすべての男子に選挙権を与える普通選挙法を成立させたか,25歳,P418,2021/09/22
1925年に加藤内閣はそれまであった選挙権の納税条件を撤廃し満25歳以上のすべての男子に選挙権を与える何を成立させたか,普通選挙法,P418,2021/09/22
1925年加藤内閣は普通選挙法の制定と同時に国体（天皇が統治する国家体制）の変革や雌雄財政制度を否定する共産主義を取り締まることを目的に何を制定したか,治安維持法,P418,2021/09/23
差別からの解放を目指す運動が起こったため1922年には京都に何が結成され運動を全国に広がっていったか。,全国水平社,P420,2021/09/23
女性差別からの解放、女性の地位向上を目指した誰は1911年に文学者団体の青鞜社を結成したか,平塚らいてう,P420,2021/09/23
女性差別からの解放、女性の地位向上を目指した平塚らいてうは1911年に文学者団体の何を結成したか,青鞜社,P420,2021/09/23
1923年9月1日午前11時58分関東地方でマグニチュード7.9の大地震が起こった。この地震のことをなんと呼ぶか,関東大震災,P420,2021/09/23
世界の多くの国々はアメリカから資金を借りアメリカと盛んに貿易を行なっていたがアメリカの経済が急激に崩壊（恐慌）したためこの強行はソ連を除く世界全体へ広がった。このことをなんと呼ぶか,世界恐慌,P422,2021/09/23
アメリカでは1932年に誰が大統領となったか,フランクリン＝ルーズベルト,P422,2021/09/23
フランクリン＝ルーズベルトは景気回復のためになんと呼ばれる経済政策を断行したか,ニューディール政策,P422,2021/09/23
レーニンの死後誰が指導者となり共産主義化を目指したか,スターリン,P423,2021/09/23
イタリアでは資本家・地主・軍人などの支持を得た誰はファシスト教を率いて1922年に政権を握ったか,ムッソリーニ,P424,2021/09/23
1921年にナチスの党首となり1933年にドイツの首相となったのは誰か,ヒトラー,P424,2021/09/24
1927年日本では大臣の失言から多くの人々が預金を引き出そうとしたため銀行の休業や倒産が相次ぐ何が起こったか,金融恐慌,P425,2021/09/24
中国で軍閥による勢力争いが続く中、孫文の死後に跡を継いだ中国国民党の誰は北方の軍閥を倒して中国を統一するために国民革命軍を組織して北伐を開始し、南京に国民政府を立てたか。,蔣介石,P426,2021/09/24
1931年9月、関東軍は奉天（現在の瀋陽）郊外の柳条湖で南満州鉄道の線路を爆破しこれを中国軍の仕業とした。この事件のことをなんと呼ぶか,柳条湖事件,P426,2021/09/24
柳条湖事件をきっかけに関東軍は軍事行動を始め翌年には満州の全土を占領した。この事件のことをなんと呼ぶか,満州事変,P426,2021/09/24
1932年関東軍は清朝最後の皇帝溥儀を立てて何を作り中国から分離させたか,満州国,P427,2021/09/24
何調査団は日本の軍事行動は不当であり、満州国が中国人の自発的な民族独立運動で作られたとは認められないと報告したか,リットン調査団,P427,2021/09/24
1932年5月15日満州国建国に反対した誰は海軍青年将校らにより首相官邸で暗殺された。この事件のことを五・十五事件と呼ぶ。,犬養毅,P427,2021/09/24
1932年5月15日満州国建国に反対した犬養毅は海軍青年将校らにより首相官邸で暗殺された。この事件のことをなんと呼ぶか,五・十五事件,P427,2021/09/24
中国では日本軍の侵略に対し蒋介石の率いる国民政府は共産党の呼びかけに応じ誰の率いる共産党との戦闘を停止したか,毛沢東,P428,2021/09/24
1937年７月北京郊外の盧溝橋で日中両軍が武力衝突し（盧溝橋事件）、これをきっかけに両国間の本格的な戦争、難易戦争が始まったか,日中戦争,P428,2021/09/24
1938年に議会の承認なしに国民や物資を動員できる何を定めたか,国家総動員法,P428,2021/09/24
