question,answer,page,made_date
「挙国一致」体制を作るために政党は解散させられ1940年設立の何に組み込まれたか,大政翼賛会,P428,2021/09/25
イギリスとフランスがドイツに宣戦を布告にて何戦争が始まったか,第二次世界大戦,P429,2021/09/25
1940年ドイツとイタリアと日本は何同盟を結んだか,日独伊三国同盟,P429,2021/09/25
近衛内閣が総辞職すると次に何内閣が誕生したか,東条英機内閣,P430,2021/09/25
日本がアメリカとイギリスに宣戦布告したことにより何戦争が始まったか,太平洋戦争,P430,2021/09/25
1945年7月日本の無条件降伏や民主主義などを求める何をアメリカ・イギリス・中国の名で発表したか,ポツダム宣言,P430,2021/09/25
アメリカは1945年8月6日と9日に広島と長崎に史上初の核兵器である何を投下したか,原子爆弾,P432,2021/09/25
連合国軍最高司令官総司令部（GHQ）の最高司令官は誰か,マッカーサー,P438,2021/09/25
何司令部のの最高司令官はマッカーサーであったか,連合国軍最高司令官総司令部（GHQ）,P438,2021/09/25
1946年の5月から始まった何裁判では東条英機ら戦争犯罪容疑者などが処刑となったか,極東国際軍事裁判,P439,2021/09/26
1945年まで満25歳以上の男子にしか選挙権はなかったが1945年から満何歳以上の男女に選挙権が与えられたか,満20歳以上の男女,P440,2021/09/26
自作農を増やすために一定の面積を持つ地主から超えた分の小作地を政府が強制的に買い上げ小作人に安く売り渡すという政策をなんと呼ぶか,農地改革,P440,2021/09/26
1945年、三井・三菱・住友・安田などの財圧に対して解散を命じた。この解散を命じた令のことをなんと呼ぶか,財閥解体,P441,2021/09/26
日本国憲法は何年の何月何日に公布され何年の何月何日から施行されたか,1946年11月3日、1947年5月3日,P441,2021/09/26
政治を決定する最高権力のことをなんと呼ぶか,主権,P441,2021/09/26
大日本帝国憲法では天皇は何の象徴であるとなったか。,日本国及び日本国民統合の象徴,P441,2021/09/26
大日本帝国憲法では天皇は日本国及び日本国統合の何であるとなったか。,象徴,P442,2021/09/26
人が生まれながらにして持っている基本的な権利のことをなんと呼ぶか,基本的人権,P442,2021/09/26
1945年10月51カ国の加盟でアメリカのニューヨークに本部を置く何が成立したか,国際連合（国連）,P443,2021/09/26
国際連合の中心機関は何であるか,安全保障理事会,P443,2021/09/26
世界大戦が起こりかねないような状況をなんと呼ぶか,冷戦（冷たい戦争）,P444,2021/09/26
1949年毛沢東を主席とする何を建国し北京を首都として社会国家主義の建設を進めたか,中華人民共和国（中国）,P444,2021/09/26
1949年誰を主席とする中華人民共和国を建国し北京を首都として社会国家主義の建設を進めたか,毛沢東,P444,2021/09/26
朝鮮半島は1948年に北緯38度線を境に南側が何、北側が何として独立したか,大韓民国、朝鮮民主主義人民共和国（北朝鮮）,P444,2021/09/26
1950年北朝鮮軍が韓国に侵攻して何戦争が始まったか,朝鮮戦争,P444,2021/09/26
1951年のフランシスコ講和会議で誰はアメリカなどの48カ国とサンフランシスコ平和条約に調印したか,吉田茂内閣,P446,2021/09/26
1951年のフランシスコ講和会議で吉田茂内閣はアメリカなどの48カ国と何条約に調印したか,サンフランシスコ平和条約,P446,2021/09/26
平和条約調印と同日何が結ばれ日本を守るためとして引き続きアメリカ軍が日本に駐留することが決められたか,日米安全保障条約,P446,2021/09/26
1956年鳩山一郎内閣によって戦争状態の終了、国交回復を中心とする何がソ連と日本の間で結ばれたか,日ソ共同宣言,P446,2021/09/26
1955年にはインドネシアのバンドンでアジア・アフリカ29カ国の代表が集まり何が開かれたか,アジア・アフリカ会議（バンドン会議）,P447,2021/09/28
石油輸出国機関（OPEC）が原油価格の大幅な引き上げを行なったため日本など原油を輸入に頼っている国々に何をもたらしたか,石油危機（オイルショック）,P448,2021/09/28
ヨーロッパ共同体（EC）はマーストリヒト条約を採択し1993年に何となったか,ヨーロッパ連合（EU),P449,2021/09/28
1950年に起こった朝鮮戦争にアメリカが国連軍として出動するために日本本土や沖縄の米軍基地を使用するとともに大量の軍需物資を日本に注文した。このため日本は何になり復興が早まったか,好景気（特需景気）,P450,2021/09/28
1950年代後半からは実質経済成長率が年平均で10％程度という急激な何時代に入ったか,経済成長（高度経済成長）時代,P450,2021/09/28
1960年に閣議決定された何内閣の所得倍増計画が経済成長を推進したか,池田勇人,P450,2021/09/28
1960年に閣議決定された池田勇人内閣の何計画が経済成長を推進したか,所得倍増計画,P450,2021/09/28
1970年代の4大公害訴訟では患者側が全て勝訴した。４大公害を全て答えよ,水俣病・四日市ぜんそく・イタイイタイ病・新潟水俣病,P451,2021/09/28
1965年、何内閣が韓国と日韓基本条約を結んだか,佐藤栄作内閣,P452,2021/09/28
1965年、佐藤栄作内閣は韓国と何条約を結んだか,日韓基本条約,P452,2021/09/28
1972年、中国とは何内閣が日中共同声明を結んだか,田中角栄内閣,P452,2021/10/06
1972年、中国とは田中角栄内閣が何声明を結んだか,日中共同声明,P452,2021/10/06
1978年に何内閣は中国と日中平和友好条約を結んだか,福田赳夫内閣,P452,2021/10/06
1978年に福田赳夫内閣は中国と何条約を結んだか,日中平和友好条約,P452,2021/10/06
核兵器を「もたず・つくらず・もちこませず」というルールのことをなんと呼ぶか,非核三原則,P452,2021/10/06
佐藤栄作内閣は1972年にの日本返還を実現させたか,沖縄,P452,2021/10/06
マルタ会談では何を宣言したか,冷戦の終結,P452,2021/10/06
世界の一体化のことをなんと呼ぶか,グローバル化,P453,2021/10/06
2001年にアメリカ国内では何が起こったか,同時多発テロ,P454,2021/10/06
2008年にはアメリカ国内の金融機関の破綻から何を引き起こしたか,世界金融危機,P454,2021/10/06
1980年代日本の自動車や半導体の輸出をめぐってアメリカとの間で何が生じたか,貿易摩擦,P454,2021/10/06
1980年代、日本国内の土地、株の価格が以上に値上がり好景気となる何となったか,バブル経済,P455,2021/10/12
1992年に何が成立し紛争地域への自衛隊派遣が始まったか,国連平和維持活動協力法（PKO協力法）,P455,2021/10/12
白黒テレビ・電気冷蔵庫・電気洗濯機はまとめてなんと呼ばれたか,三種の神器,P462,2021/10/12
日本は総人口に占める子供の割合が減り、高齢者の占める割合が増えてきている。このことをなんと呼ぶか,少子高齢化,P464,2021/10/12
日本は次世代育成支援対策推進法と何を制定して少子化対策の方向性を示すとともに少子化対策の具体的な内容と目標を「子供・子育て応援プラン」として掲げたか,,P465,2021/10/12
何を制定し仕事と育児・介護が両立できる社会づくりも進めているか,育児・介護休業法,P465,2021/10/12
現代社会は、脱工業化社会といわれモノ以上に情報が重要な価値を占め情報そのものが大きな位置を占めるようになっていている。このような社会のことをなんと呼ぶか,情報社会,P466,2021/10/12
世界中のコンピューターを繋ぐネットワークのことをなんと呼ぶか,インターネット,P466,2021/10/12
身の回りのさまざまな「モノ」がインターネットで繋がる仕組みのことをなんと呼ぶか,loT,P466,2021/10/12
人工知能とは学習・推論・判断などの人間の知的な活動をコンピューターに代行させるという技術のことで、何とも呼ばれるか,AI（Artificial Intelligence),P467,2021/10/12
学習・推論・判断などの人間の知的な活動をコンピューターに代行させるという技術のことをなんと呼ぶか,人工知能,P467,2021/10/12
情報社会では情報ツールを使いこなせるかどうかで、所得格差や就職の機会均等に障害が生じる何が表面化しているか,デジタルバイト,P467,2021/10/13
地球規模での世界の一体化のことをなんと呼ぶか,グローバル化（グローバリゼーション）,P468,2021/10/13
異なった文化を持つ人々が互いにそれぞれの文化を認め合い尊重（異文化理解）しながら生活していく社会のことをなんと呼ぶか,多文化共生社会,P469,2021/10/13
人間がより良い生活を営むために時には自然に働きかけながら人間に相応しいより優れたものを物質的・精神的両面に形成すること、およびその成果をなんと呼ぶか,文化,P470,2021/10/13
体系づけられた知識また、個別に専門的な分野に分かれている学問をまとめてなんと呼ぶか,科学,P470,2021/10/13
ある決まった素材あや特定の技術を用いて主に、視覚・聴覚を通して心理的な満足を生み出す人間の活動、またそれらによって作られたものをなんと呼ぶか,芸術,P471,2021/10/13
神、または世の中の悪い部分から切り離された絶対者、神聖なものに対する信仰とそれに対する体系をなんと呼ぶか,宗教,P471,2021/10/13
文化の中でも長い歴史を通して大切に育まれ受け継がれてきた有形無形のものを何と呼ぶか,伝統文化,P471,2021/10/14
アイヌ語で人間を意味する言葉は何か,アイヌ,P472,2021/10/14
日本には国宝や天然記念物を保護する法律が戦前からあった。1950年にはそれらばかりではなく無形文化財や埋蔵文化財も保護対象に加えた何が制定されたか,文化財保護法,P472,2021/10/14
今後民族との文化を認め対等な関係で共存を目指す何の実現が日本でも求められるか,多文化共生　,P473,2021/10/14
夫婦のみ、夫婦と未婚の子供、ひとり親と子供からなる加増区のことを何と呼ぶか,核家族,P475,2021/10/14
人と人が集まる社会では相手と意見が異なってしまい何が生じることもあるか,対立,P479,2021/10/14
意見が食い違って合意できない場合があるがその場合多数決によって決定を行うが、少数の意見も尊重し、より多くの人が何できるように努めなければならないか,合意,P479,2021/10/14
対立する理由や原因を話し合って合意を目指そうとする時何と何が必要となるか,効率と公正,P479,2021/10/14
私たちが他者と社会生活を営む時対立が起こる時がある。その時は合意を目指せばいいがその後も対立が起きないとは限らない。そのためには事前委集団社会の中で何を作ることが有効であるか,決まり（ルール）,P480,2021/10/14
何の根本の精神は人間を個人として尊重することであるか,民主主義,P484,2021/10/14
民主主義の根本の精神は人間を何として尊重することであるか,個人,P484,2021/10/14
全ての人々が尊重される社会では個人の何が認められなければならないか,自由,P484,2021/10/14
自由と並んで大切なのは人間の何であるか,平等,P484,2021/10/15
アメリカ合衆国の独立宣言やフランスの人権宣言以来、近代の民主主義国は何という民主主義の精神に立って今日に至っている,基本的人権の平等,P485,2021/10/15
国王を法の下に置き権力者も方に従わなければならないという考え方を何と呼ぶか,法の支配,P486,2021/10/15
18世紀を代表する啓蒙思想家を三人答えよ,イギリスのロックフランスのモンテスキュー、ルソー,P486,2021/10/15
主権は人民にあるとし、市民革命の理念となったのは何であるか,社会契約説,P486,2021/10/15
国民に対して人間らしい生活を保障するという権利のことを何と呼ぶか,社会権,P488,2021/10/15
議会で制定された憲法により国家権力を制限しその憲法に基づいて国の政治を行うという考え方をなんと呼ぶか,立憲主義,P489,2021/10/15
1889年2月11日7章76ヶ条からなる何が発布されたか,大日本帝国憲法,P490 ,2021/10/15
大日本帝国憲法の特色。議会は衆議院と何で構成されていたか,貴族院,P490 ,2021/10/15
戦後の日本は何に基づいて再出発することになったか,ポツダム宣言,P491,2021/10/15
1946年11月3日に公布され翌1947年5月3日から施行された新しい憲法のことを何と呼ぶか,日本国憲法,P491,2021/10/15
日本国憲法では前文において「政府の行為によって再び戦争の惨禍が起こることのないようにすることを決意し・・・」と何を掲げているか,平和主義,P492,2021/10/15
日本国憲法の第3章は何について規定してあるか,基本的人権,P492,2021/10/15
国の政治権力は国民に由来し政治のあり方の最高・最終の決定権は国民にあるという考え方を何と呼ぶか,国民主権,P494,2021/10/16
日本国憲法の下では天皇は日本国と日本国民統合の何とされているか,象徴,P494,2021/10/16
日本国憲法では主権は国民にあり天皇は国の政治には関与しないことになった。従って天皇は形式的・儀礼的な何をするだけであるか,国事行事,P494,2021/10/16
1950年に作られた警察予備隊は1954年に何となったか,自衛隊,P496,2021/10/16
日本はアメリカ合衆国と何条約を結びアメリカ軍の日本在留を認めたか,日米安全保障条約,P496,2021/10/16
現在の自衛隊は文官優位の原則を取っている。これを何と呼ぶか,文民統制（シビリアンコントロール）,P497,2021/10/16
自衛隊は国際連合の何への参加や他国軍への後方支援活動を行なっているか,平和維持活動（PKO),P497,2021/10/16
共同して防衛にあたる権利のことを何と呼ぶか,集団的自衛権,P497,2021/10/16
一人一人の人間をかけがえのない存在として扱うことを何と呼ぶか,個人の尊重,P498,2021/10/16
日本国憲法が保障している基本的人権には何と何と何の3つがあるか,平等権・自由権・社会権,P498,2021/10/16
日本国憲法が保障している基本的人権を守るための権利として何と何の2つがあるか,参政権・請求権,P498,2021/10/16
国家からの制約を受けず自由に活動する権利を何と呼ぶか,自由権,P499,2021/10/17
全ての国民が差別されず平等に扱われる権利を何と呼ぶか,平等権,P499,2021/10/17
全ての人間が法的に平等でなければならないという原則のことを何と呼ぶか,法の下の平等,P500,2021/10/17
日本では1985年に何が制定され雇用の面での女性差別が禁止されたか,男女雇用機会均等法,P501,2021/10/17
1999年何が施行されたことにより男女それぞれの人権が尊重され慣習による男女の役割や制度をなくしその人が持つ個性と能力が発揮でき男女が対等な立場で政治や職場などに参画してそれぞれが責任を担う社会を作り上げていくことを目指したか。,男女共同参画社会基本法,P501,2021/10/17
2016年には女性が社会で活躍しやすい環境を作ることを目的に何が施行されたか,女性活動推進法,P501,2021/10/17
人間らしい生活を営むための権利を何と呼ぶか,社会権,P502,2021/10/17
第一次世界大戦後の1919年に制定されたドイツの何憲法において世界で初めて社会権が初めて明記されたか,ワイマール憲法,P502,2021/10/17
人間らしい生活を営む権利を何と呼ぶか,生存権,P503,2021/10/17
日本国憲法では第26条で何を保障し義務教育を無償とすると定めているか,教育を受ける権利,P503,2021/10/17
日本国憲法は働く意思と能力があるものに何を保障しているか,勤労の権利,P503,2021/10/18
労働者は使用者に対して弱い立場であるため第28条では何が規定されているか,労働基本法（労働三権）,P503,2021/10/18
国民が直接または間接的に政治に自由に参加する権利をなんと呼ぶか,参政権,P504,2021/10/18
国民の基本的人権が侵害された場合にその救済を求める権利を何と呼ぶか,請求権,P504,2021/10/18
憲法は第12条で国民が基本的人権を普段の努力によって保持し基本的人権を濫用せず何のために利用する責任を持たせているか,公共の福祉,P505,2021/10/18
日本国憲法には規定されていないが社会の急激な変化や人々の人権意識の高まりによって主張されるようになった権利を何と呼ぶか,新しい権利,P506,2021/10/18
快適な生活環境を求める権利を何と呼ぶか,環境権,P506,2021/10/18
主権者である国民が政治に参加するため国家権力に妨げられず必要な情報を自由に受け取ることのできる権利をなんと呼ぶか,知る権利,P506,2021/10/18
知る権利に対応するために多くの地方公共団体が情報公開条例を制定し何を儲けることになったか,情報公開制度,P506,2021/10/18
個人の私生活に関する情報を公開されない権利を何と呼ぶか,プライバシーの権利,P507,2021/10/18
個人の生き方や生活について国家権力からの干渉や社会の圧力を受けることなく自由に決定することのできる権利のことを何と呼ぶか,自己決定権,P507,2021/10/20
1948年国際連合は「全ての人民と全ての国とが達成すべき共通の基準」として何を採択したか,世界人権宣言,P508,2021/10/20
世界人権宣言には法的拘束力がなく実効性を欠いたものであった。そこで1966年の国連総会で法的拘束力を持たせた何を採択したか,国際人民規約,P508,2021/10/20
国際連合と密接な関係を持つ何でも教育や人権問題に取り組んでいるか,NGO(非政府組織）,P508,2021/10/20
対立を調整するためルールを作りそれを運用することで社会を成り立たせる役割を果たしているのは何か,政治,P509,2021/10/20
国民が自らの意思に従って権力を行使する政治原理を何と呼ぶか,民主主義（デモクラシー）,P509,2021/10/20
全ての国民が直接政治に参加する制度を何と呼ぶか,直接民主制,P509,2021/10/20
国民が選挙によって代表者を選びその代表者が政治を行う制度が広く採用されるようになった。この制度を何と呼ぶか,間接民主制,P510,2021/10/20
意見が分かれ話し合いによって決着がつかない場合表決を行い多数の意見を採用する制度を何と呼ぶか,多数決,P511,2021/10/20
国民の代表を選出することを何と呼ぶか,選挙,P511,2021/10/21
1925年に何が制定され制定され満25歳以上の男子は全て選挙権を持ったか,普通選挙法,P511,2021/10/21
一人が一票の投票を行う選挙のことをなんと呼ぶか,平等選挙,P512,2021/10/21
選挙をする際誰に投票したかの秘密が守られる,秘密選挙,P512,2021/10/21
国民が議員など非選挙人を直接に選挙することを何と呼ぶか,直接選挙,P512,2021/10/21
1950年に制定された選挙に関する基本法のことを何と呼ぶか,公職選挙法,P512,2021/10/21
1994年の公職選挙法の改正では何が衆議院議員選挙に導入されたか,小選挙区比例代表並立制,P513,2021/10/21
2000年の公職選挙法の改正では参議院議員選挙の比例代表制が何名簿式から非拘束名簿式に変わったか,拘束名簿式,P513,2021/10/21
2015年の小選挙区比例代表並立制で選挙権の年齢が満20歳以上から満何歳以上に引き下げられたか,満18歳以上,P513,2021/10/21
政治的意見を同じくする人々によって組織され政権を獲得することを目的に政治活動をする団体を何と呼ぶか,政党,P514,2021/10/21
政権を担当する政党のことを何と呼ぶか,与党,P516,2021/10/21
政党を担当しない政党を何と呼ぶか,野党,P516,2021/10/21
政党が議会を通じて政権を握りその政策を実現する政治のことを何と呼ぶか,政党政治,P516,2021/10/21
一つの政党だけでは過半数の議席を得られなかった場合には複数の政党が政策協定を結んで何を組織することがあるか,連立政権（連立内閣）,P516,2021/10/22
意見や要望はいろいろな機会を通じて発表されやがてそれらが人々の多数に支持され国民に共有された意見となった場合にこれを何と呼ぶか,世論,P518,2021/10/23
国会は国民の意思を最もよく代表しているものと考えられる。つまり国会の決定は国民の意思と見なすことができる。そのため国会はナヌであると日本国憲法に定められているか,国権の最高機関,P519,2021/10/23
国会は国内で唯一の何であるか,立法機関,P519,2021/10/23
日本の国会は何と何の二つの議員で構成される二院制（両院制）を採用しているか,衆議院と参議院,P519,2021/10/23
衆議院の定数は何人か,465人,P520,2021/10/23
衆議院の任期は何年で、解散することがあるか,4年,P520,2021/10/23
参議院の定数は何人か,248人,P520,2021/10/23
参議院の任期は何年か,6年,P520,2021/10/23
参議院に解散はあるか,ない,P520,2021/10/23
毎年一月中に召集され次年度の予算審議が課題の中心となる会のことを何と呼ぶか,常会（通常国会）,P521,2021/10/23
内閣が必要と認めたとき又はいずれかの議員の総議員の4分の1以上の要求があった時に召集される国会のことを何と呼ぶか,臨時会（臨時国会）,P521,2021/10/24
衆議院解散後の総選挙の日から30日以内に召集される国会で内閣総理大臣の使命が課題の中心となる国会のことを何と呼ぶか,特別会（特別国会）,P521,2021/10/24
衆議院の解散中に緊急の問題が生じ内閣が必要と認めた時に召集することを何と呼ぶか,参議院の緊急集会,P521,2021/10/24
委員会で特に重要な案件や国民の関心の高い案件について審査している場合その利害関係のある人や専門的な知識を持つ人を招いて意見を聞くことがあるこれを何と呼ぶか,公聴会,P522,2021/10/24
国会の最も大切な仕事は法律を制定することすなわち何であるか,立法,P523,2021/10/24
衆議院と参議院に与えられている国の政治に関して調査することができる権利を何と呼ぶか,国政調査権,P524,2021/10/24
裁判官が不正を行なったり職務を怠ったりした場合その処分を判定する裁判のことを何と呼ぶか,弾劾裁判,P524,2021/10/24
弾劾裁判は両院から7人ずつ選出された何によって裁判が行われるか,弾劾裁判所,P524,2021/10/24
いくつかの重要な決定については衆議院の権限を参議院よりも強くしている。このことを何と呼ぶか,衆議院の優越,P525,2021/10/24
衆議院と参議院の議決が一致しなかった時に意見を調整するために開かれる協議会を何と呼ぶか,両院協議会,P526,2021/10/26
衆議院の解散後何日以内に総選挙が行われるか,総選挙,P526,2021/10/26
総選挙の日から何日以内に特別会が召集されるか,30日以内,P526,2021/10/26
特別会で内閣は何をし、新しい内閣総理大臣が任命されるか,総辞職,P526,2021/10/26
国民生活の安定と向上のために行う各種の施策を何と呼ぶか,行政,P527,2021/10/26
行政を実際に行う権限を何と呼ぶか,行政権,P527,2021/10/26
行政の最高機関のことを何と呼ぶか,内閣,P527,2021/10/26
内閣は何大臣と何大臣によって構成されるか,内閣総理大臣と国務大臣,P527,2021/10/26
内閣総理大臣が主宰する内閣の意思決定会議のことを何と呼ぶか,閣議,P527,2021/10/27
内閣が国会の信任に基づいて成り立ち国会に対して連帯して責任を負う仕組みを何と呼ぶか,議院内閣制,P528,2021/10/27
内閣が憲法や法律の規定を実施するために発する命令のことを何と呼ぶか,政令,P530,2021/10/27
天皇の軍事行為は何によって行われその責任は内閣が負うか,内閣の助言と承認,P530,2021/10/27
公務員の選定・罷免の権利は国民が持っており公務員は一部の人々のためだけではなく何でなければならないか,国民全体の奉仕者,P532,2021/10/27
個人の権利が侵され社会の秩序が乱されるような事件に対し法令を適用して判断（判決）を下す仕事の何と呼ぶか,司法,P534,2021/10/27
民主政治の発展は裁判所が他の機関や政治勢力からも干渉さえず独立して裁判をするという何の原則を生み出したか,司法権の独立,P534,2021/10/27
裁判所は全ての法律や命令、規則、処分などが違法に反していないかどうか審査する権限を持つ。,違憲立法審査権,P535,2021/10/27
最高裁判所は最終的に法令などが合憲か違憲かを決定できる終裁判所であるためなんと言われるか,憲法の番人,P535,2021/10/27
裁判所は何と何の二つに分けることができるか,最高裁判所と下級裁判所,P536,2021/10/27
最高裁判所の裁判官は何によって適確か不適格化を決めているか,国民審査,P536,2021/10/28
裁判を慎重かつ公正におこなうため同じ事件について３回まで裁判を受けることができる。これを何と呼ぶか,三審制,P537,2021/10/28
第一審から第二審に上訴することを何と呼ぶか,控訴,P537,2021/10/28
第二審から第三審に上訴することを何と呼ぶか,上告,P537,2021/10/28
裁判には何裁判と何裁判があるか,刑事裁判と民事裁判,P538,2021/10/28
検察官は犯罪を犯した疑いのあるもの（被疑者）を裁判所に何するか,起訴,P538,2021/10/28
起訴された人のことを何と呼ぶか,被告人,P538,2021/10/28
民事裁判では訴えた人のことを何と呼ぶか,原告,P538,2021/10/28
民事裁判では訴えられた人のことを何と呼ぶか,被告,P538,2021/10/28
警察官が被疑者を逮捕した後起訴、不起訴は誰が行うか,検察官’,P538,2021/10/28
警察官や検察官が住居内の捜索、逮捕などをする場合は裁判官、裁判所の発行する何が必要か,令状,P540,2021/10/29
被疑者は取調べの際に自分に不利な供述をしなくても良い権利の何を持っているか,黙秘権,P540,2021/10/29
無実のものが罪に問われることを何と呼ぶか,冤罪,P541,2021/10/29
第3審の後でも新しい証拠が出るなどして裁判に重大な誤りがあると疑われる場合は判決を取り消し裁判をやり直すことができる。この制度のことを何と呼ぶか,再審制度,P541,2021/10/29
日本では国民に身近で利用しやすい司法の実現を目指して何が進められてきたか,司法制度改革,P541,2021/10/29
2004年には法曹人口の拡大を目的に何が設けられたか。,法科大学院（ロースクール）,P541,2021/10/29
2004年に誰もが身近に法律相談を受けられるように何が設置されたか,日本司法支援センター（法テラス）,P541,2021/10/29
2009年5月からは何制度が始まったか,裁判員制度,P541,2021/10/30
国家権力を、立法・行政・司法に三分しそれぞれ独立の機関に担当させ、三権が相互に抑制しあって均衡を保つことを何と呼ぶか。,三権分立,P543,2021/10/30
アメリカ合衆国のように行政に属する大統領が議会（立法）に議席を持つことを許されず厳格に三権分立が行われている国のことを何と呼ぶか,大統領制,P543,2021/10/30
イギリスのように行政（内閣）を立法（議会）の信任のもとに置く国のことを何と呼ぶか,議院内閣制,P543,2021/10/30
地方自治は何と言われるか,民主主義の学校,P545,2021/10/30
1947年には何法が日本国憲法と同時に施行されたか,地方自治法,P545,2021/10/30
1999年に地方分権一括法が制定された。制定以降は国の仕事の多くが地方公共団体に任されることになり現在でも何は進んでいるか,地方分権,P546,2021/10/30
地方議会での議決を施行するのが首長、すなわち何であるか,都道府県知事、市（区）町村長,P547,2021/10/30
都道府県知事の被選挙権は満何歳以上か,30歳以上,P547,2021/10/31
市（区）町村長の被選挙権は満何歳以上か,25歳以上,P547,2021/10/31
地方公共団体間の地方勢収入の格差を減らすために国から地方公共団体に配分されるお金のことを何と呼ぶか,地方交付税交付金,P549,2021/10/31
国が使い道を指定して地方公共団体に支出する賃金のことを何と呼ぶか,国庫支出金,P549,2021/10/31
有権者総数の何分の何以上の署名があった場合条例の制定や改廃を請求することができるか,50分の1,P550,2021/10/31
議員と首長の解職請求は有権者の何分の何以上の署名を集めると選挙管理委員会へ請求することができるか,3分の1,P550,2021/10/31
解職請求のことを何と呼ぶこともあるか,リコール,P550,2021/10/31
一定の地域にだけ適用される特別法にはその地方公共団体の何で過半数の同意を得ることが必要であるか,住民投票（レファレンダム）,P551,2021/10/31
地方公共団体の行政に対する苦情を受け付け中立的な立場から調査するオンブズマンをおいて市政を監視する制度のことを何と呼ぶか,オンブズマン（オンブスパーソン）制度,P551,2021/11/01
税やサービスという商品の生産・流通・消費などにかかわる人々の営みやそれを支える社会の仕組みのことを何と呼ぶか,経済,P558,2021/11/01
家庭の収入と支出を通して家庭を維持することを何と呼ぶか,家計,P558,2021/11/01
経済の主体は家計だけではなく何と政府があるか,企業,P558,2021/11/01
経済の主体は家計だけではなく何と企業があるか,政府,P558,2021/11/01
収入は生産活動を行うことで得る報酬から経済を差し引いた残りを何と呼ぶか,所得,P558,2021/11/01
消費生活を行うために必要な財・サービスを買うために支払う費用のことを何と呼ぶか,消費支出,P558,2021/11/01
実支出以外の支出の代表的なものに何があるか,貯蓄,P558,2021/11/01
