question,answer,page,made_date
カナダ北部にはなんと呼ばれる民族がいるか,イヌイット,P42,1974/05/24
サハラ砂漠やアラビア半島の砂漠のオアシス周辺で行われる産業は？,農業,P42,1974/05/24
モンゴルなどの短い草が生える草原で行われる産業は？,遊牧,P42,1974/05/24
イタリアなどの地中海沿岸の地域で夏栽培されるのは？,オリーブやぶどう,P42,1974/05/24
イタリアなどの地中海沿岸の地域で雨の多い冬栽培されるのは？,小麦,P42,1974/05/24
アンデス山脈で栽培される食物は？,とうもろこしやじゃがいも,P42,1974/05/24
アンデス山脈で放牧がさかんな動物は？,リャマとアルパカ,P42,1974/05/24
エクアドルの首都キトは標高何メートルか？,2794m,P43,1974/05/24
雨を降らせやすい海流は暖流と寒流どちらか？,暖流,P43,1974/05/24
高緯度から低緯度に向かって流れるのは暖流と寒流どちらか？,寒流,P43,1974/05/24
待機の循環によって一定方向にふく風を二種類,貿易風や偏西風,P43,1974/05/24
季節によって反対方向に風向きをかえる風は？,季節風,P43,1974/05/24
中緯度から赤道に向かってふく風はで北半球では北東風、南半球では南東風になるのは？,貿易風,P43,1974/05/24
異常気象の原因と考えられている南アメリカ大陸沖から日付変更線までの界面の温度が平年より高い状態が続く現象,エルニーニョ現象,P43,1974/05/24
海面の温度が平年より低い状態が続く現象は？,ラニーニャ現象,P43,1974/05/24
世界の気候を５つ答えよ,熱帯・乾燥帯・温帯・冷帯・寒帯,P44,1974/05/24
赤道周辺の地域で１年を通して気温が高い気候帯,熱帯,P44,1974/05/24
熱帯雨林気候の地域で降る激しい雨のことは・,スコール,P44,1974/05/24
丈の長い草原の中にまばらな樹木が生える気候,サバナ気候,P44,1974/05/24
ほとんど雨がふらず砂や岩だけの砂漠が広がる気候,砂漠気候,P44,1974/05/24
砂漠気候の周辺に分布し、雨季にやや雨があり、丈の短い草原のステップが広がる気候,ステップ気候,P44,1974/05/24
サハラ砂漠の南側の砂漠化が進行している地域は？,サヘル,P44,1974/05/24
東アジアなどに分布。夏は高温多湿、冬は寒い。常緑樹と落葉樹の気候。,温暖湿潤気候,P44,1974/05/24
温暖湿潤気候の性質を決めているのは？,季節風,P44,1974/05/24
夏は高温で乾燥、冬は比較的降水量が多い気候。,地中海性気候,P44,1974/05/24
西岸海洋性気候を決定づける要素を２つ,偏西風と北大西洋海流,P44,1974/05/24
針葉樹林が広がり、下に永久凍土がある気候帯,冷帯,P44,1974/05/24
北極海沿岸に分布する気候,ツンドラ気候,P44,1974/05/24
南極・グリーンランドに分布し、１年中雪や氷に覆われている,氷雪気候,P44,1974/05/24
アンデス地方の服で１枚の布に穴をあけて首を入れるやつ。,ポンチョ,P46,1974/05/24
西アジア・北アフリカで女性が肌の露出を少なくするために着るもん,チャドル,P46,1974/05/24
インドで女性がきるやつ,サリー,P46,1974/05/24
朝鮮半島の女性の服,チマチョゴリ,P46,1974/05/24
とうもろこしを主食としているのはどこ？,中央アメリカや南アメリカ,P47,1974/05/24
イモ類を主食とするのは？,太平洋の島々やアフリカ,P47,1974/05/24
イヌイットがつくる氷の住居は？,イグルー,P47,1974/05/24
東南アジアなどで住居に使われている湿気を防ぐ住居,高床式住居,P47,1974/05/24
サハラ砂漠などの乾燥地帯で利用される住居の材料,日干し煉瓦,P48,1974/05/24
モンゴルで利用されるテントのこと,ゲル,P48,1974/05/24
イタリアの多くの住居の壁は何で作られている？,石,P48,1974/05/24
イヌイットの人が最近乗り始めた犬ぞりに代わるものは？,スノーモービル,P48,1974/05/24
母語人口が最も多い言語は？,中国語,P48,1974/05/24
キリスト教の聖地は？,エルサレム,P49,1974/05/24
キリスト教の経典は？,聖書,P49,1974/05/24
信者が最もおおい宗教は？,キリスト教,P49,1974/05/24
イスラム教の最大の聖地は？,メッカ,P49,1974/05/24
イスラム教の経典は？,コーラン,P49,1974/05/24
イスラム教を始めたのは？,ムハンマド,P49,1974/05/24
イスラム教を進行している地域は？,西アジア、東南アジア、北アフリカ,P49,1974/05/24
仏教の聖地は？,ブッダガヤ,P49,1974/05/24
仏教の経典は？,経,P49,1974/05/24
仏教を始めたのは？,シャカ,P49,1974/05/24
カーストという身分制度と深いつながりを持つ宗教,ヒンドゥー教,P49,1974/05/24
アジアは１６世紀ごろから始まったヨーロッパ諸国のアジア進出によって大部分の国々が欧米の何になった？,植民地,P50,1974/05/24
アジアの現在の人口は？,約４６億人,P50,1974/05/24
アジアの人口は世界のなん％？,約６０％,P50,1974/05/24
世界の屋根とよばれるアジアの山脈は？,ヒマラヤ山脈,P51,1974/05/24
中央アジアにある世界最大の塩湖は？,カスピ海,P51,1974/05/24
中華民国が建国された事件は？,辛亥革命,P51,1974/05/24
中国の北部にある砂漠は？,ゴビ砂漠,P52,1974/05/24
中国の西側にある砂漠は？,タクラマカン砂漠,P52,1974/05/24
中国の南西部にある高原と山脈は？,チベット高原とヒマラヤ山脈,P52,1974/05/24
中国の９０％の人は何族？,漢族,P53,1974/05/24
中国で自治を認められた地域があるがなんとよぶ？,自治区,P53,1974/05/24
人口の増加を抑えるために中国で施行されたのは？,一人っ子政策,P53,1974/05/24
一人っ子政策は何年に廃止されたか？,２０１５年,P53,1974/05/24
中国で１９５０年に設立された農地や生産手段の共有化などを進めたのは？,人民公社,P54,1974/05/24
中国の鉱産資源で有名なのは？,石炭・鉄鉱石・原油,P55,1974/05/24
石炭の生産が有名な中国の都市,フーシュン,P55,1974/05/24
鉄鉱石がよくとれる中国の都市,アンシャン、ターイエ,P55,1974/05/24
原油がよくとれる中国の都市,ターチン,P55,1974/05/24
華南地方の沿岸部に設置され、外国の投資を受け入れて工業生産や科学技術の発展を図ったのは？,経済特区、経済技術開発区,P55,1974/05/24
中国で２０００年頃から内陸部の重点的な開発を進めた,西部大開発,P55,1974/05/24
中国は世界の工場と呼ばれるほどになり、現在は○○の一つ,BRICS,P55,1974/05/24
中国の貿易は輸出額世界何位？,１位,P56,1974/05/24
輸入額では中国は世界何位？,２位,P56,1974/05/24
朝鮮半島で民家で暖を取るために利用されるのは？,オンドル,P56,1974/05/24
朝鮮半島が日本の植民地だったのは何年から何年？,1910-1945年,P57,1974/05/24
大韓民国と朝鮮民主主義人民共和国に別れたのは北緯何度？,３８度,P57,1974/05/24
韓国の宗教で多いのは？,儒教,P57,1974/05/24
韓国は１９６０年以降、日本や欧米からの資本や技術を導入して工業化が進み１９８０年代には○○の一つに数えられた。,アジアNIES,P58,1974/05/24
韓国で盛んな産業は？,ICT産業,P58,1974/05/24
マレーシアやインドネシアで信仰されている宗教は？,イスラム教,P59,1974/05/24
フィリピンで信仰されている宗教は？,キリスト教,P59,1974/05/24
アジア５カ国で形成されている１９６７年に結束した地域協力機構は？,ASEAN,P59,1974/05/24
東南アジアの平野部で古くから盛んな農業は？,稲作,P59,1974/05/24
大農園で商品作物を栽培する農業は？,プランテーション,P60,1974/05/24
インドネシアでよくとれる金属は？,すず,P60,1974/05/24
インドネシアでよくとれる燃料は？,原油,P60,1974/05/24
フィリピンでよくとれる金属は？,ニッケル,P60,1974/05/24
インドネシア・マレーシアでよくとれる燃料で日本が主な輸出先,天然ガス,P60,1974/05/24
２００２年にシンガポールと日本との間で関税の撤廃を含む協定が結ばれた,経済連携協定,P60,1974/05/24
シンガポールも○の一つと数えられている,アジアNIES（新興工業経済地域）,P61,1974/05/24
マレーシアで信仰されている宗教は？,イスラム教,P61,1974/05/24
タイの宗教は大半は？,仏教,P61,1974/05/24
タイの首都は？,バンコク,P62,1974/05/24
タイは１年中雨季があるので何がさかん？,米の二期作,P62,1974/05/24
ベトナムは南北が統一されて何国になった？,社会主義国,P62,1974/05/24
ベトナムの農産物で世界二位の生産を誇るのは？,コーヒー,P62,1974/05/24
インドネシアの宗教は？,イスラム教,P63,1974/05/24
フィリピンで盛んなプランテーション栽培。２つ農産物を答えよ。,バナナとココヤシ,P63,1974/05/24
インドの中部から南部にある高原は？,デカン高原,P64,1974/05/24
インドでかつて栄えた文明は？,インダス文明,P64,1974/05/24
インドは１９世紀にどこの植民地になったか？,イギリス,P64,1974/05/24
インドの宗教は？,ヒンドゥー教,P64,1974/05/24
インドに欧米の企業が進出して発展した産業は？,ICT産業,P64,1974/05/24
インドは急速に経済発展をとげて○の一つに数えられる,BRICS,P64,1974/05/24
パキスタンの宗教（メイン）,イスラム教,P65,1974/05/24
パキスタンとインドの国境で紛争が絶えない地方は？,カシミール地方,P65,1974/05/24
パキスタンで栽培が盛んなのは？,小麦と綿花,P65,1974/05/24
バングラディシュで栽培が盛んなのは？,米とジュート,P65,1974/05/24
スリランカで世界有数の生産を誇っているのは？,茶,P65,1974/05/24
ネパールに多いのは何教徒？,ヒンドゥー教徒,P65,1974/05/24
西アジアで発達した文明は？,メソポタミア文明,P66,1974/05/24
原油は油田から地中海沿岸やペルシア湾沿岸に送られる？何で？,パイプライン,P66,1974/05/24
石油産業の国有化、利権料や石油価格の値上げを行った団体は？,OPEC（石油輸出国機構）,P66,1974/05/24
サウジアラビアは国王一族が統治している何国家？,専制君主国家,P67,1974/05/24
サウジアラビアのオアシスで栽培されているのは？,小麦、野菜、なつめやし、綿花,P67,1974/05/24
アラブ首長国連邦（UAE)の首都は？,ドバイ,P67,1974/05/24
メソポタミア文明発祥の国は？,クウェート,P68,1974/05/24
２００３年にクウェートとどこが戦争をしたか？,アメリカ,P68,1974/05/24
ユダヤ民族がイスラエルを建国したがアラブの国々と戦争が絶えない問題は？,パレスチナ問題,P68,1974/05/24
儒教とはどんな人を敬うという教えがあるか？2つ答えなさい,祖先や目上の人,P68,1974/05/24
北朝鮮は2002年に日本と何条約を結んだか,日朝平壌宣言,P68,1974/05/24
フィリピンではキリスト教の何と呼ばれるものが信仰されているか,カトリック,P68,1974/05/24
ASEANを省略せずに答えよ,東南アジア諸国連合,P68,1974/05/24
東南アジアの気候は何の影響を受けて雨季と乾季が交互に現れるか,季節風(モンスーン),P68,1974/05/24
華人を説明せよ,移住地の国籍を取得した人,P68,1974/05/24
華僑を説明せよ,中国の国籍を持っている人,P68,1974/05/24
中国で起こっている一極集中を説明せよ,その都市に集中して企業が集まってくること,P68,1974/05/24
中国では近年何産業が発達しているか,情報通信技術(ICT)産業,P68,1974/05/24
ASEANは現在加盟国は何カ国になっているか,10か国,P68,1974/05/24
ASEANは域内の関税を引き下げて貿易の拡大を図る何を設立したか,ASEAN自由貿易地域(AFTA),P68,1974/05/24
2015年には地域間税を撤廃し、相互参入規制を緩和するため何を発足させたか,ASEAN共済共同体(AEC),P68,1974/05/24
プランテーションを説明しなさい,安い賃金で労働者を雇い商品作物を大量に単一栽培する大規模な畑のこと,P68,1974/05/24
東南アジア平野部ではなぜ昔から稲作が盛んなのか,程よい雨と温度だから,P68,1974/05/24
スラムを説明しなさい,上下水道が設備されていない粗末な建物,P68,1974/05/24
1973年に起こったアラブ諸島とイスラエルによる第4次中東戦争の時にOPEKは輸出制限と価格引き下げを決定した。そのために起こった世界経済打撃のことをなんと呼ぶ？,石油危機(オイルショック),P68,2021/06/27
イラクがクウェートへ侵入した時際に起こった戦争のことを何戦争と呼ぶか,湾岸戦争,P68,2021/06/27
2003年に起こったイラクとアメリカ合衆国との戦いのことを何戦争と呼ぶか,イラク戦争,P68,2021/06/27
サウジアラビアとアラブ首長国連邦の日本への原油輸出量だけで日本への原油輸出量の何%を超えているか,60%以上,P67,2021/06/27
イランでは何人(じん)が国の人口の約35%を締めているか,ペルシア人,P67,2021/06/27
イラン・イラク・クウェート・サウジアラビア・カタール・アラブ首長国連邦の1帯の原油埋蔵量は世界の約何割を占めるか,5割,P67,2021/06/27
イラン・イラク・クウェート・サウジアラビア・カタール・アラブ首長国連邦の1帯の原油産出量は世界の約何割を占めるか,３割,P67,2021/06/27
バングラデシュでは近年何工業が発展してきた？,繊維工業,P65,2021/06/27
ネパールでは農業と何登山に関連する観光業が盛んになっているか,ヒマラヤ,P65,2021/06/27
インドのガンジス川流域では米や小麦、デカン高原では綿花の栽培が盛んだがアッサム地方では何の栽培が盛ん？,茶,P64,2021/06/27
インドではなぜICT産業が盛んになった？,賃金水準が低く数学教育に力を入れていて、英語を話せる人が多いから,P65,2021/06/27
地球1周の長さは約何キロメートル？,約４万キロメートル,P24,2021/06/28
地球は太陽から何番目に遠いところを回っている？,三番目,P24,2021/06/28
地球の表面積は何平方キロメートル？,約5.1億平方キロメートル,P24,2021/06/28
地球の陸地と海洋の面積比を答えよ,7:3,P25,2021/06/28
三大洋を大きいものから順に答えなさい,太平洋、大西洋、インド洋,P25,2021/06/28
六大陸を大きいものから順に答えなさい,ユーラシア大陸、アフリカ大陸、北アメリカ大陸、南アメリカ大陸、南極大陸、オーストラリア大陸,P25,2021/06/28
6つの州を答えなさい,アジア州、アフリカ州、ヨーロッパ州、南アメリカ州、北アメリカ州、オセアニア州,P26,2021/06/28
アジア州を6つに分けなさい,西アジア、南アジア、東南アジア、東アジア、中央アジア、シベリア,P26,2021/06/28
世界には何個余の独立国があるか,190個,P27,2021/06/28
世界にある197か国のうちの国際連合に加盟していない国を全て答えなさい,バチカン市国、コソボ共和国、クック諸島、ニウエ,P27,2021/06/28
国境が全て海上にある国を何国と呼ぶか,島国,P27,2021/06/28
国境が全て隣り合わせとなっている国を何国と呼ぶか答えなさい,内陸国,P27,2021/06/28
世界で最も大きい国はどこですか,ロシア連邦,P28,2021/06/28
ロシア連邦の国土面積は日本の何倍ありますか,やく45倍,P28,2021/06/28
世界のおよその人口を答えなさい,約78億人,P28,2021/06/28
最も人口が多い国を答えなさい,中国,P28,2021/06/28
中国では何人の人が暮らしていますか,約14.4億人,P28,2021/06/28
アメリカ合衆国では何人の人が暮らしていますか,約3.3億人,P28,2021/06/28
赤道という意味を持っている国名は？,エクアドル,P28,2021/06/28
氷の国という意味の国名は？,アイスランド,P28,2021/06/28
地球儀で赤道と平行に引かれている線を何線と呼ぶ？,緯線,P31,2021/06/28
北極点と南極点を結ぶ線のことを何線と呼ぶ？,経線,P31,2021/06/28
赤道より北の緯線のことをなんと呼ぶ？,北緯,P31,2021/06/28
経度0度より東の経線をなんと呼ぶ？,東経,P31,2021/06/28
赤道より南の緯線のことをなんと呼ぶ？,南緯,P31,2021/06/28
本初子午線はどこの国にあるどこの都市を通っている？,イギリス、ロンドン,P31,2021/06/28
経度0度より西の経線のことを何線と呼ぶ？,西経,P31,2021/06/28
地球儀の利点を答えなさい,大陸や島の形、位置・面積・角度・方位が全て正しい,P30,2021/06/28
地球儀の欠点を答えなさい,球体のため1度に半分しかみれず地球全体を1度に見渡すことができないし持ち運びしにくい,P30,2021/06/28
世界地図の利点を答えなさい,地球の様子を平面に捉えていて世界全体を1度に見渡せる,P31,2021/06/28
世界地図の欠点を答えなさい,形や面積・方位・距離などが正しく表されていない,P31,2021/06/28
中心からの距離が正しく示せる図法のことを何図法とよぶか,正距方位図法,P32,2021/06/28
表面積が正しく表すことができる図法のことを何図法と呼ぶか,モルワイデ図法,P32,2021/06/28
緯線と経線を直角に交わらせてかける図法を何図法とよぶか,メルカトル図法,P32,2021/06/28
日本は何大陸の東にある国か,ユーラシア大陸,P33,2021/06/28
標準時の差のことをなんと呼ぶか,時差,P34,2021/06/28
180度の経線を沿うようになんと呼ばれる線が引かれているか,日付変更線,P34,2021/06/28
日本の標準時子午線は東経何度か,東経135度,P34,2021/06/28
日本の標準時子午線は何県の何市を通っているか,兵庫県明石市,P34,2021/06/28
領域は何と領海と領空からなるか,領地,P35,2021/06/30
領域は何と領海と領空からなるか,領海,P35,2021/06/30
領域は領地と領海と何からなるか,領空,P35,2021/06/30
日本列島は1番大きい何が中心になっているか,本州,P35,2021/06/30
日本は本州以外に何からなる島となっているか,九州・四国・北海道,P35,2021/06/30
北海道から沖縄までの距離は何キロメートルか,およそ三千キロメートル,P35,2021/06/30
日本の国土面積は約何万平方キロメートルか,約38万平方キロメートル,P35,2021/06/30
日本最北端は北海道の何島ですか,択捉島,P35,2021/06/30
日本の最西端は沖縄県の何島ですか,与那国島,P35,2021/06/30
日本の最南端は東京都の何島ですか,沖ノ鳥島,P35,2021/06/30
日本の最東端は東京都の何島ですか,南鳥島,P35,2021/06/30
波の浸食から島を守るために護岸工事を施された島は何島ですか,沖ノ鳥島,P35,2021/06/30
日本の領海は干潮時の海岸線から何海里進んだところまでですか,12海里,P36,2021/06/30
各国の領土沿岸から200海里のことをなんと呼ぶか,排他的経済水域,P36,2021/06/30
歯舞群島・色丹島・国後島・択捉島からなる群島のことをなんと呼ぶか,北方領土,P36,2021/06/30
北方領土は第二次世界大戦後にどこの国に不法占拠されたか,ロシア連邦,P36,2021/06/30
1952年から韓国は鳥取県に属する何島を自国の島だと主張するようになったか,竹島,P36,2021/06/30
沖縄県に属する何諸島は過去に中国や台湾から領有権を主張されていましたか。,尖閣諸島,P36,2021/06/30
日本は何個の都道府県に分けられるか,47個,P37,2021/07/01
都道府県はそれぞれ何個ずつあるか,1都1道2府43県,P38,2021/07/01
日本には海に面していない県がある。その県のことをなんと呼ぶか,内陸県,P38,2021/07/01
熱帯雨林が広がり1年中高温な地域は何気帯に属されるか,熱帯,P42,2021/07/01
熱帯雨林の入り口には何が広がるか,マングローブ,P42,2021/07/01
熱帯の海には何が広がるか,サンゴ礁,P42,2021/07/01
1年の大半は雪と氷に覆われているような期待を何気滞と呼ぶか,寒帯,P42,2021/07/01
冷帯にはなんと呼ばれる針葉樹林が広がっているか,タイガ,P42,2021/07/01
寒帯では一日中太陽が沈まない何が起こる時期があるか,白夜,P42,2021/07/01
カナダ北部には何と呼ばれる人々が暮らしているか,イヌイット,P42,2021/07/01
カリブーたちはかつては何を狩ることが主流だったか,カリブー,P42,2021/07/01
サハラ砂漠やアラビア半島のように雨がとても少ない気帯を何気帯と呼ぶか,乾燥帯,P42,2021/07/01
乾燥帯では何と呼ばれる湧水が出てくる周辺で生活しているか,オアシス,P42,2021/07/01
乾燥帯の短い草が生えている場所では家畜をあちこちに移動しながら飼う何が盛んに行われているか,遊牧,P42,2021/07/01
温暖な地域が多い気帯を何気帯とよぶか,温帯,P42,2021/07/01
イタリアなどの温帯では乾燥する夏に何などが作られるか,オリーブやぶどう,P42,2021/07/01
イタリアなどの雨の多い冬などに何が作られるか,小麦,P42,2021/07/01
日本では何の変化がはっきりしているか,四季,P42,2021/07/01
高山ではある程度標高が低いところではとうもろこしが作られるがとうもろこしが作られている標高より高い標高のところでは何が作られているか,じゃがいも,P42,2021/07/01
高山ではアルパカやリャマなどを放し飼う何が盛んか,放牧,P42,2021/07/01
海抜高度100mあたり何度気温が下がるか,0.55度,P43,2021/07/01
雨を降らせやすい海水は暖流と寒流のどちらか,暖流,P43,2021/07/01
乾燥させやすい海水は暖流と寒流のどちらか,寒流,P43,2021/07/01
季節によって流れ方を変える風のことをなんと呼ぶか,季節風(モンスーン),P43,2021/07/01
中緯度から極地方へ常に西から吹く風のことをなんと呼ぶか,偏西風,P43,2021/07/01
一年中暑く雨がよく降る気体のことを何気帯と呼ぶか,熱帯,P44,2021/07/01
雨がなかなか降らずオアシスが発生するところに人々が暮らす気帯の事を何気帯と呼ぶか,乾燥帯,P44,2021/07/02
乾燥帯では短い丈の草が広がる何草原が広がるか,ステップ,P44,2021/07/02
ステップ気候のなかにあるサハラ砂漠の南側のどこでは砂漠化が進んでいるか,サへル,P44,2021/07/02
温暖な気候で四季の変化が見られる気帯を何気帯と呼ぶか,温帯,P44,2021/07/02
温帯の中にある温暖湿潤気候は何アジアに分布しているか,東アジア,P44,2021/07/02
温暖湿潤気候の国の夏は海から吹く何の影響で高温多湿になるか,季節風,P44,2021/07/02
温暖湿潤気候の中の冬は大陸から吹く季節風によりどのような気候になっているか,寒い,P44,2021/07/02
温帯の中の地中海性気候で夏はどのような気候になっているか,高温で乾燥している,P44,2021/07/02
地中海性気候の中での冬はどのような気候になっているか,比較的降水量が多い,P44,2021/07/02
温帯の中の西岸海洋性気候は何ヨーロッパに属しているか,西ヨーロッパ,P44,2021/07/02
西岸海洋性気候は何風と何流のせいで高緯度な割に温暖であるか,偏西風・北大西洋海流,P44,2021/07/02
冷帯はどのような地域に属しているか,シベリアなどの高緯度な場所,P44,2021/07/02
タイガと呼ばれる針葉樹林の下にはなんと呼ばれる土が広がっているか,永久凍土,P44,2021/07/02
寒帯では樹林が育つか育たないか,育たない,P44,2021/07/02
寒帯の中のツンドラ気候は夏に雪が溶けわずかに何が生えるか,苔,P44,2021/07/02
寒帯の中の氷雪気候は1年中何や何に覆われているか,雪や氷,P44,2021/07/02
カナダ北部で暮らしている民族のことをなんと呼ぶか,イヌイット,P46,2021/07/02
イヌイットたちは何や何の毛で作った服を着ているか,トナカイ・あざらし,P46,2021/07/02
アンデス山脈の高地で暮らす人々はなんと呼ばれる服を着ているか,ポンチョ,P46,2021/07/02
ポンチョには何の動物の毛が使われているか,アルパカ,P46,2021/07/02
イスラム教徒に入っている女性はなんと呼ばれる服を着ているか,チャドル,P46,2021/07/02
チャドルの特徴を答えなさい,露出している場所が少ない,P46,2021/07/02
インドの女性はなんと呼ばれる服を着ているか,サリー,P46,2021/07/02
朝鮮半島の女性はなんと呼ばれる服を着て生活しているか,チマ・チョゴリ,P46,2021/07/02
米を主食とする地域は何が多いか,降水量,P47,2021/07/02
米を麺にして食したりすることがあるがその米の粉から作る麺のことをなんと呼ぶか,ビーフン,P47,2021/07/02
米を作ることを何作と呼ぶか,稲作,P47,2021/07/02
雨の少ない場所では何がよく作られるか,小麦,P47,2021/07/02
小麦などを作ることを何作と呼ぶか,畑作,P47,2021/07/02
小麦は主に何とされ食されることが多いか,パンや、パスタ,P47,2021/07/02
中央アメリカや南アメリカでは何が主に食べられているか,とうもろこし,P47,2021/07/02
太平洋の島々やアフリカの人々は主に何芋や何が食されているか,タロイモやキャッサバ,P47,2021/07/02
イヌイットの住む家のことをなんとよぶか,イグルー,P47,2021/07/02
イグルーは何でできているか,氷,P47,2021/07/02
高温多雨で高温多湿の熱帯は家の中に熱や湿気がこもらないようにどのような工夫がされているか,高床式にしている,P47,2021/07/02
乾燥帯の家は何でできているか,日干し煉瓦,P47,2021/07/02
日干しレンガの家にするとどのようないいことがあるか,強い日差しを防げる,P48,2021/07/02
乾燥帯の家の窓は小さい。それはなぜ？,熱い風や砂埃の侵入を防ぐため,P48,2021/07/02
