JP,EN,trial,ratio,n_ok
P102,2021/07/16,0,0,0
P102,2021/07/16,0,0,0
P102,2021/07/16,0,0,0
P102,2021/07/16,0,0,0
P102,2021/07/16,0,0,0
P102,2021/07/16,0,0,0
P102,2021/07/16,0,0,0
P103,2021/07/16,0,0,0
P103,2021/07/16,0,0,0
P103,2021/07/16,0,0,0
P103,2021/07/16,0,0,0
P105,2021/07/16,0,0,0
P105,2021/07/16,0,0,0
P105,2021/07/16,0,0,0
P106,2021/07/17,0,0,0
P106,2021/07/17,0,0,0
P106,2021/07/17,0,0,0
P106,2021/07/17,0,0,0
P106,2021/07/17,0,0,0
P106,2021/07/17,0,0,0
P107,2021/07/17,0,0,0
P107,2021/07/17,0,0,0
P107,2021/07/17,0,0,0
P107,2021/07/17,0,0,0
P107,2021/07/17,0,0,0
P108,2021/07/17,0,0,0
P108,2021/07/17,0,0,0
P108,2021/07/18,0,0,0
P108,2021/07/18,0,0,0
P109,2021/07/18,0,0,0
P109,2021/07/18,0,0,0
P109,2021/07/18,0,0,0
P109,2021/07/18,0,0,0
P109,2021/07/18,0,0,0
P109,2021/07/18,0,0,0
P109,2021/07/18,0,0,0
P110,2021/07/18,0,0,0
P110,2021/07/18,0,0,0
P116,2021/07/18,0,0,0
P116,2021/07/18,0,0,0
P117,2021/07/18,0,0,0
P117,2021/07/18,0,0,0
P117,2021/07/18,0,0,0
P117,2021/07/18,0,0,0
P120,2021/07/18,0,0,0
P120,2021/07/19,0,0,0
P121,2021/07/19,0,0,0
P122,2021/07/19,0,0,0
P122,2021/07/19,0,0,0
P123,2021/07/19,0,0,0
P124,2021/07/19,0,0,0
P124,2021/07/19,0,0,0
P125,2021/07/19,0,0,0
P125,2021/07/19,0,0,0
P125,2021/07/19,0,0,0
P126,2021/07/19,0,0,0
P126,2021/07/19,0,0,0
P126,2021/07/19,0,0,0
P127,2021/07/19,0,0,0
P127,2021/07/19,0,0,0
P127,2021/07/20,0,0,0
P127,2021/07/20,0,0,0
P127,2021/07/20,0,0,0
P127,2021/07/20,0,0,0
P127,2021/07/20,0,0,0
P127,2021/07/20,0,0,0
P128,2021/07/20,0,0,0
P129,2021/07/20,0,0,0
P129,2021/07/20,0,0,0
P130,2021/07/20,0,0,0
P130,2021/07/20,0,0,0
P130,2021/07/20,0,0,0
P130,2021/07/20,0,0,0
P132,2021/07/20,0,0,0
P132,2021/07/20,0,0,0
P132,2021/07/20,0,0,0
P132,2021/07/21,0,0,0
P133,2021/07/21,0,0,0
P133,2021/07/21,0,0,0
P133,2021/07/21,0,0,0
P133,2021/07/21,0,0,0
P133,2021/07/21,0,0,0
P134,2021/07/21,0,0,0
P134,2021/07/21,0,0,0
P135,2021/07/21,0,0,0
P135,2021/07/21,0,0,0
P136,2021/07/21,0,0,0
P136,2021/07/21,0,0,0
P137,2021/07/21,0,0,0
P137,2021/07/21,0,0,0
P138,2021/07/21,0,0,0
P138,2021/07/21,0,0,0
P138,2021/07/21,0,0,0
P138,2021/07/22,0,0,0
P139,2021/07/22,0,0,0
P139,2021/07/22,0,0,0
P139,2021/07/22,0,0,0
P139,2021/07/22,0,0,0
P139,2021/07/22,0,0,0
P139,2021/07/22,0,0,0
P140,2021/07/22,0,0,0
P140,2021/07/22,0,0,0
P140,2021/07/22,0,0,0
P140,2021/07/22,0,0,0
P140,2021/07/22,0,0,0
P140,2021/07/22,0,0,0
P140,2021/07/22,0,0,0
P140,2021/07/22,0,0,0
P141,2021/07/23,0,0,0
P141,2021/07/23,0,0,0
P141,2021/07/23,0,0,0
P141,2021/07/23,0,0,0
P141,2021/07/23,0,0,0
P141,2021/07/23,0,0,0
P141,2021/07/23,0,0,0
P141,2021/07/23,0,0,0
P141,2021/07/23,0,0,0
P141,2021/07/23,0,0,0
P141,2021/07/23,0,0,0
P142,2021/07/23,0,0,0
P142,2021/07/23,0,0,0
P142,2021/07/23,0,0,0
P142,2021/07/23,0,0,0
P143,2021/07/23,0,0,0
P143,2021/07/23,0,0,0
P144,2021/07/25,0,0,0
P144,2021/07/25,0,0,0
P144,2021/07/25,0,0,0
P144,2021/07/25,0,0,0
P144,2021/07/25,0,0,0
P144,2021/07/25,0,0,0
P144,2021/07/25,0,0,0
P144,2021/07/25,0,0,0
P144,2021/07/25,0,0,0
P144,2021/07/25,0,0,0
P144,2021/07/25,0,0,0
P144,2021/07/25,0,0,0
P144,2021/07/25,0,0,0
P145,2021/07/25,0,0,0
P145,2021/07/25,0,0,0
P146,2021/07/25,0,0,0
P146,2021/07/25,0,0,0
P146,2021/07/26,0,0,0
P146,2021/07/26,0,0,0
P147,2021/07/26,0,0,0
P147,2021/07/26,0,0,0
P147,2021/07/26,0,0,0
P147,2021/07/26,0,0,0
P147,2021/07/26,0,0,0
P147,2021/07/26,0,0,0
P147,2021/07/26,0,0,0
P147,2021/07/26,0,0,0
P148,2021/07/26,0,0,0
P149,2021/07/26,0,0,0
P149,2021/07/26,0,0,0
P150,2021/07/26,0,0,0
P150,2021/07/26,0,0,0
P150,2021/07/26,0,0,0
P150,2021/07/26,0,0,0
P150,2021/07/26,0,0,0
P151,2021/07/26,0,0,0
P151,2021/07/26,0,0,0
P151,2021/07/26,0,0,0
P152,2021/07/26,0,0,0
P152,2021/07/26,0,0,0
P153,2021/07/26,0,0,0
P153,2021/07/27,0,0,0
P153,2021/07/27,0,0,0
P153,2021/07/27,0,0,0
P154,2021/07/27,0,0,0
P155,2021/07/27,0,0,0
P155,2021/07/27,0,0,0
P156,2021/07/27,0,0,0
P156,2021/07/27,0,0,0
P156,2021/07/27,0,0,0
P156,2021/07/27,0,0,0
P157,2021/07/27,0,0,0
P159,2021/07/27,0,0,0
P159,2021/07/27,0,0,0
P160,2021/07/27,0,0,0
P160,2021/07/27,0,0,0
P160,2021/07/27,0,0,0
P160,2021/07/27,0,0,0
P160,2021/07/27,0,0,0
P160,2021/07/27,0,0,0
P166,2021/07/27,0,0,0
P166,2021/07/27,0,0,0
P167,2021/07/27,0,0,0
P167,2021/07/27,0,0,0
P167,2021/07/27,0,0,0
P168,2021/07/27,0,0,0
P168,2021/07/27,0,0,0
P168,2021/07/27,0,0,0
P169,2021/07/27,0,0,0
P169,2021/07/27,0,0,0
P169,2021/07/27,0,0,0
P169,2021/07/27,0,0,0
P171,2021/07/27,0,0,0
P172,2021/07/27,0,0,0
P173,2021/07/27,0,0,0
P173,2021/07/27,0,0,0
P174,2021/07/27,0,0,0
P174,2021/07/27,0,0,0
P174,2021/07/27,0,0,0
P175,2021/07/27,0,0,0
P175,2021/07/27,0,0,0
P176,2021/07/27,0,0,0
P176,2021/07/27,0,0,0
P177,2021/07/27,0,0,0
P178,2021/07/27,0,0,0
P178,2021/07/27,0,0,0
P180,2021/07/27,0,0,0
P180,2021/07/27,0,0,0
P181,2021/07/27,0,0,0
P182,2021/07/27,0,0,0
P183,2021/07/27,0,0,0
P184,2021/07/29,0,0,0
P185,2021/07/29,0,0,0
P185,2021/07/29,0,0,0
P185,2021/07/29,0,0,0
P185,2021/07/29,0,0,0
P186,2021/07/29,0,0,0
P188,2021/07/29,0,0,0
P188,2021/07/29,0,0,0
P188,2021/07/29,0,0,0
P188,2021/07/29,0,0,0
P188,2021/07/29,0,0,0
P189,2021/07/29,0,0,0
P189,2021/07/29,0,0,0
P190,2021/07/29,0,0,0
P190,2021/07/29,0,0,0
P190,2021/07/29,0,0,0
P190,2021/07/29,0,0,0
P190,2021/07/29,0,0,0
P190,2021/07/29,0,0,0
P190,2021/07/29,0,0,0
P190,2021/07/29,0,0,0
P191,2021/07/29,0,0,0
P193,2021/07/29,0,0,0
P194,2021/07/29,0,0,0
P195,2021/07/29,0,0,0
P195,2021/07/29,0,0,0
P196,2021/07/29,0,0,0
P198,2021/07/30,0,0,0
P198,2021/07/30,0,0,0
P198,2021/07/30,0,0,0
P198,2021/07/30,0,0,0
P198,2021/07/30,0,0,0
P198,2021/07/30,0,0,0
P198,2021/07/30,0,0,0
P198,2021/07/30,0,0,0
P199,2021/07/30,0,0,0
P200,2021/07/30,0,0,0
P200,2021/07/30,0,0,0
P200,2021/07/30,0,0,0
P201,2021/07/30,0,0,0
P201,2021/07/30,0,0,0
P203,2021/07/30,0,0,0
P203,2021/07/30,0,0,0
P203,2021/07/30,0,0,0
P204,2021/07/30,0,0,0
P204,2021/07/30,0,0,0
P205,2021/07/30,0,0,0
P205,2021/07/30,0,0,0
P205,2021/07/30,0,0,0
P206,2021/07/30,0,0,0
P206,2021/07/30,0,0,0
P206,2021/07/30,0,0,0
P208,2021/07/30,0,0,0
P208,2021/07/30,0,0,0
P208,2021/07/31,0,0,0
P209,2021/07/31,0,0,0
P210,2021/07/31,0,0,0
P210,2021/07/31,0,0,0
P211,2021/07/31,0,0,0
P211,2021/07/31,0,0,0
P211,2021/07/31,0,0,0
P211,2021/07/31,0,0,0
P211,2021/07/31,0,0,0
P212,2021/07/31,0,0,0
P212,2021/07/31,0,0,0
P213,2021/07/31,0,0,0
P213,2021/07/31,0,0,0
P213,2021/07/31,0,0,0
P213,2021/07/31,0,0,0
P213,2021/07/31,0,0,0
P214,2021/07/31,0,0,0
P216,2021/07/31,0,0,0
P216,2021/07/31,0,0,0
P216,2021/07/31,0,0,0
P217,2021/07/31,0,0,0
P218,2021/07/31,0,0,0
P218,2021/07/31,0,0,0
P218,2021/07/31,0,0,0
P219,2021/07/31,0,0,0
P234,2021/07/31,0,0,0
P242,2021/07/31,0,0,0
P242,2021/07/31,0,0,0
P242,2021/07/31,0,0,0
P243,2021/07/31,0,0,0
P244,2021/07/31,0,0,0
P244,2021/08/02,0,0,0
P244,2021/08/02,0,0,0
P244,2021/08/02,0,0,0
P244,2021/08/02,0,0,0
P245,2021/08/02,0,0,0
P246,2021/08/02,0,0,0
P246,2021/08/02,0,0,0
P246,2021/08/02,0,0,0
P247,2021/08/02,0,0,0
P247,2021/08/02,0,0,0
P247,2021/08/02,0,0,0
P247,2021/08/02,0,0,0
P247,2021/08/02,0,0,0
P247,2021/08/02,0,0,0
P247,2021/08/03,0,0,0
P247,2021/08/03,0,0,0
P247,2021/08/03,0,0,0
P248,2021/08/03,0,0,0
P248,2021/08/03,0,0,0
P248,2021/08/03,0,0,0
P249,2021/08/03,0,0,0
P249,2021/08/03,0,0,0
P249,2021/08/03,0,0,0
P249,2021/08/03,0,0,0
P251,2021/08/03,0,0,0
P251,2021/08/03,0,0,0
P251,2021/08/03,0,0,0
P251,2021/08/03,0,0,0
P251,2021/08/05,0,0,0
P252,2021/08/05,0,0,0
P252,2021/08/05,0,0,0
P252,2021/08/05,0,0,0
P252,2021/08/05,0,0,0
P252,2021/08/05,0,0,0
P252,2021/08/05,0,0,0
P252,2021/08/05,0,0,0
P254,2021/08/05,0,0,0
P254,2021/08/05,0,0,0
P255,2021/08/05,0,0,0
P256,2021/08/05,0,0,0
P256,2021/08/05,0,0,0
P256,2021/08/05,0,0,0
P256,2021/08/05,0,0,0
P256,2021/08/05,0,0,0
P256,2021/08/05,0,0,0
P256,2021/08/05,0,0,0
P257,2021/08/05,0,0,0
P257,2021/08/05,0,0,0
P257,2021/08/05,0,0,0
P258,2021/08/06,0,0,0
P258,2021/08/06,0,0,0
P258,2021/08/06,0,0,0
P258,2021/08/06,0,0,0
P258,2021/08/06,0,0,0
P260,2021/08/06,0,0,0
P260,2021/08/06,0,0,0
P261,2021/08/06,0,0,0
P261,2021/08/06,0,0,0
P262,2021/08/06,0,0,0
P262,2021/08/06,0,0,0
P262,2021/08/06,0,0,0
P262,2021/08/09,0,0,0
P262,2021/08/09,0,0,0
P263,2021/08/09,0,0,0
P263,2021/08/09,0,0,0
P263,2021/08/09,0,0,0
P263,2021/08/09,0,0,0
P263,2021/08/09,0,0,0
P264,2021/08/09,0,0,0
P264,2021/08/09,0,0,0
P264,2021/08/09,0,0,0
P264,2021/08/09,0,0,0
P265,2021/08/09,0,0,0
P265,2021/08/09,0,0,0
P265,2021/08/09,0,0,0
P265,2021/08/09,0,0,0
P265,2021/08/09,0,0,0
P266,2021/08/09,0,0,0
P266,2021/08/10,0,0,0
P266,2021/08/10,0,0,0
P267,2021/08/10,0,0,0
P267,2021/08/10,0,0,0
P267,2021/08/11,0,0,0
P267,2021/08/11,0,0,0
P269,2021/08/11,0,0,0
P270,2021/08/11,0,0,0
P270,2021/08/11,0,0,0
P270,2021/08/11,0,0,0
P271,2021/08/11,0,0,0
P271,2021/08/11,0,0,0
P271,2021/08/12,0,0,0
P271,2021/08/12,0,0,0
P271,2021/08/12,0,0,0
P272,2021/08/12,0,0,0
P272,2021/08/12,0,0,0
P272,2021/08/12,0,0,0
P272,2021/08/12,0,0,0
P273,2021/08/12,0,0,0
P273,2021/08/12,0,0,0
P273,2021/08/12,0,0,0
P273,2021/08/12,0,0,0
P273,2021/08/12,0,0,0
P273,2021/08/12,0,0,0
P274,2021/08/12,0,0,0
P275,2021/08/12,0,0,0
P275,2021/08/12,0,0,0
P276,2021/08/12,0,0,0
P276,2021/08/12,0,0,0
P276,2021/08/12,0,0,0
P276,2021/08/12,0,0,0
P277,2021/08/12,0,0,0
P277,2021/08/12,0,0,0
P278 ,2021/08/12,0,0,0
P278 ,2021/08/12,0,0,0
P285,2021/08/13,0,0,0
P285,2021/08/13,0,0,0
P285,2021/08/13,0,0,0
P285,2021/08/13,0,0,0
P285,2021/08/13,0,0,0
P285,2021/08/13,0,0,0
P285,2021/08/13,0,0,0
P286,2021/08/13,0,0,0
P286,2021/08/13,0,0,0
P286,2021/08/13,0,0,0
P286,2021/08/13,0,0,0
P286,2021/08/13,0,0,0
P286,2021/08/13,0,0,0
P287,2021/08/13,0,0,0
P287,2021/08/13,0,0,0
P287,2021/08/13,0,0,0
P287,2021/08/13,0,0,0
P288,2021/08/13,0,0,0
P288,2021/08/13,0,0,0
P288,2021/08/13,0,0,0
P288,2021/08/13,0,0,0
P288,2021/08/13,0,0,0
P288,2021/08/13,0,0,0
P288,2021/08/13,0,0,0
P289,2021/08/13,0,0,0
P289,2021/08/13,0,0,0
P289,2021/08/13,0,0,0
P289,2021/08/13,0,0,0
P289,2021/08/13,0,0,0
P291,2021/08/13,0,0,0
P291,2021/08/13,0,0,0
P291,2021/08/13,0,0,0
P292,2021/08/14,0,0,0
P292,2021/08/14,0,0,0
P292,2021/08/14,0,0,0
P292,2021/08/14,0,0,0
P292,2021/08/14,0,0,0
P292,2021/08/14,0,0,0
P293,2021/08/14,0,0,0
P293,2021/08/14,0,0,0
P293,2021/08/14,0,0,0
P293,2021/08/14,0,0,0
P293,2021/08/14,0,0,0
P293,2021/08/14,0,0,0
P293,2021/08/14,0,0,0
P293,2021/08/14,0,0,0
P294,2021/08/14,0,0,0
P294,2021/08/14,0,0,0
P294,2021/08/14,0,0,0
P295,2021/08/14,0,0,0
P295,2021/08/14,0,0,0
P297,2021/08/14,0,0,0
P297,2021/08/14,0,0,0
P297,2021/08/14,0,0,0
P298,2021/08/14,0,0,0
P298,2021/08/14,0,0,0
P298,2021/08/14,0,0,0
P299,2021/08/14,0,0,0
P299,2021/08/14,0,0,0
P299,2021/08/14,0,0,0
P299,2021/08/14,0,0,0
P299,2021/08/14,0,0,0
P300,2021/08/14,0,0,0
P300,2021/08/14,0,0,0
P300,2021/08/14,0,0,0
P301,2021/08/14,0,0,0
P301,2021/08/14,0,0,0
P301,2021/08/14,0,0,0
P302,2021/08/14,0,0,0
P302,2021/08/14,0,0,0
P303,2021/08/14,0,0,0
P303,2021/08/14,0,0,0
P303,2021/08/14,0,0,0
P304,2021/08/14,0,0,0
P304,2021/08/14,0,0,0
